"","word","weight1","weight2","weight3","weight4","weight5","weight6","num1","num2","num3","num4","num5","num6","classnum"
"1","各位大大",0.00548903997009581,0,0,0,0,0,189,0,0,0,0,0,1
"2","大家好",0.0036339208406501,0,0,0,0.00147670516263725,0,200,0,0,0,15,0,2
"4","有沒有",0.0042142665705779,0,0,0.000475142263569447,0,0,232,0,0,86,0,0,2
"5","找教授",0.0040148063008686,0,0,0.000198921043571726,0,0,221,0,0,36,0,0,2
"6","的教授",0.00381531086115773,0,0,0.000198921043571726,0,0,210,0,0,36,0,0,2
"8","教授的",0.00207276503045378,0,0,0.000331515645313246,0,0,114,0,0,60,0,0,2
"9","想請問",0.0074008578627435,0,0,0,0,0.00525013522834684,408,0,0,0,0,2,2
"11","學長姐",0.00298067587031791,0,0,0.000337040083173143,0,0,164,0,0,61,0,0,2
"21","中山",0.00337992594588396,0,0,0.000552472122024272,0,0,186,0,0,100,0,0,2
"23","中興",0.00230889194594964,0,0,0.000386758810081303,0,0,127,0,0,70,0,0,2
"26","方面",0.002853612204016,0,0,0.000535901883007891,0,0,157,0,0,97,0,0,2
"30","台科",0.00298067587031791,0,0,0.00041437938098558,0,0,164,0,0,75,0,0,2
"38","有點",0.00245417632643708,0,0,0.00123164305568403,0,0,135,0,0,223,0,0,2
"45","版上",0.0030351273592225,0,0,0.000502760676906083,0,0,167,0,0,91,0,0,2
"46","的話",0.00269022366200215,0,0,0.00154624261405634,0,0,148,0,0,280,0,0,2
"48","知道",0.00392413091620862,0,0,0.000673979793377778,0,0,216,0,0,122,0,0,2
"50","很多",0.00225440549313054,0,0,0.00189385617064176,0,0,124,0,0,343,0,0,2
"51","是否",0.00381531086115773,0,0,0.000381234614984478,0,0,210,0,0,69,0,0,2
"54","研所",0.00254496959135298,0,0,0.000574565396545186,0,0,140,0,0,104,0,0,2
"57","推甄",0.00463120626789461,0,0,0.000950085070728585,0,0,255,0,0,172,0,0,2
"62","統計",0.00216358890696597,0,0,0.00150209356694717,0,0,119,0,0,272,0,0,2
"64","備上",0.00330734550151867,0,0,0.00024312097077661,0,0,182,0,0,44,0,0,2
"66","想問",0.00473492161686679,0,0,0,0,0,163,0,0,0,0,0,1
"67","意見",0.00207276503045378,0,0,0.000209971187255505,0,0,114,0,0,38,0,0,2
"77","請益",0.0358835798379529,0,0,0,0,0,1246,0,0,0,0,0,1
"78","請問",0.00334363630571376,0,0,0,0,0.00525013522834684,184,0,0,0,0,2,2
"86","乙",0.00270837910969363,0,0,0.000270745048446708,0,0,149,0,0,49,0,0,2
"145","指",0.00216358890696597,0,0,0.000430951399873398,0,0,119,0,0,78,0,0,2
"169","清",0.00212726023126818,0,0,0.000535901883007891,0,0,117,0,0,97,0,0,2
"191","補",0.00294437342176544,0,0,0.000823085011715991,0,0,162,0,0,149,0,0,2
"192","裡",0.00218175280738922,0,0,0.000546948735983621,0,0,120,0,0,99,0,0,2
"209","麼",0.00256312737004665,0,0,0,0.00118151828141566,0,141,0,0,0,12,0,2
"226","類",0.00267206792296813,0,0,0.000331515645313246,0,0,147,0,0,60,0,0,2
"228","謝謝大家",0.00374829207750489,0,0,0,0,0,129,0,0,0,0,0,1
"229","前輩",0.00227256793562476,0,0,0.000254170682780426,0,0,125,0,0,46,0,0,2
"238","推",0.00232705351379877,0,0,0.000994255662891615,0,0,128,0,0,180,0,0,2
"247","大大",0.00305327727318163,0,0,0.000276269783046005,0,0,168,0,0,50,0,0,2
"249","網路報名",0,0.00362858098531282,0,0,0,0,0,39,0,0,0,0,1
"252","學年度",0,0.00502225255424477,0,0,0,0,0,54,0,0,0,0,1
"253","入學",0,0.00353563134530279,0,0,0,0,0,38,0,0,0,0,1
"254","下午",0,0.00221215816482728,0,0.000187870791962686,0,0,0,38,0,34,0,0,2
"255","口試",0,0.00296795724482747,0,0.00131444089477698,0,0,0,51,0,238,0,0,2
"256","公告",0,0.00344267692725035,0,0,0,0,0,37,0,0,0,0,1
"257","分享",0,0.0022703144840202,0,0.00081756294662423,0,0,0,39,0,148,0,0,2
"259","本校",0,0.00437200615480717,0,0,0,0,0,47,0,0,0,0,1
"261","地點",0,0.00209583655762132,0,0,0.00295148544291833,0,0,36,0,0,30,0,2
"263","系所",0,0.00302607472841517,0,0.00039228297820577,0,0,0,52,0,71,0,0,2
"265","招生",0,0.010493629712341,0,0,0,0,0,113,0,0,0,0,1
"266","社會",0,0.00273545745228241,0,0.0006132275888754,0,0,0,47,0,111,0,0,2
"270","參加",0,0.00250290987189618,0,0.000353613234905769,0,0,0,43,0,64,0,0,2
"272","國際",0,0.00424585277306252,0,0.000325991180478357,0,0,0,73,0,59,0,0,2
"273","情報",0,0.0326724666812708,0,0,0,0,0,354,0,0,0,0,1
"274","產業",0,0.00446491281453346,0,0,0,0,0,48,0,0,0,0,1
"276","通訊",0,0.00483649172700482,0,0,0,0,0,52,0,0,0,0,1
"278","報考",0,0.00378133047287884,0,0.000795474416736308,0,0,0,65,0,144,0,0,2
"282","網址",0,0.00427909472145714,0,0,0,0,0,46,0,0,0,0,1
"283","網站",0,0.00250290987189618,0,0.000132617914964281,0,0,0,43,0,24,0,0,2
"284","臺灣",0,0.00372152584777203,0,0,0,0,0,40,0,0,0,0,1
"285","學院",0,0.00407167925972436,0,0.000138143324090124,0,0,0,70,0,25,0,0,2
"287","學程",0,0.00418617851399241,0,0,0,0,0,45,0,0,0,0,1
"288","簡章",0,0.00604359614037945,0,0,0,0,0,65,0,0,0,0,1
"295","止",0,0.00285171332080765,0,0.000204446128904141,0,0,0,49,0,37,0,0,2
"298","立",0,0.00279358687976171,0,0.000740251205277999,0,0,0,48,0,134,0,0,2
"303","式",0,0.0043039046528818,0,0.00039228297820577,0,0,0,74,0,71,0,0,2
"307","技",0,0.00424585277306252,0,0.000138143324090124,0,0,0,73,0,25,0,0,2
"318","查",0,0.00296795724482747,0,0.000441999277613585,0,0,0,51,0,80,0,0,2
"321","海",0,0.00209583655762132,0,0.000314942169882549,0,0,0,36,0,57,0,0,2
"322","特",0,0.00209583655762132,0,0.000359137564868334,0,0,0,36,0,65,0,0,2
"328","術",0,0.00250290987189618,0,0.000187870791962686,0,0,0,43,0,34,0,0,2
"330","場",0,0.00459411938103218,0,0.000922477574906005,0,0,0,79,0,167,0,0,2
"344","繳",0,0.00418617851399241,0,0,0,0,0,45,0,0,0,0,1
"347","碩士班",0,0.00483649172700482,0,0,0,0,0,52,0,0,0,0,1
"350","恭喜",0,0.00613641695867281,0,0,0,0,0,66,0,0,0,0,1
"351","博士",0,0.00308418922679658,0,0,0.00196851221732373,0,0,53,0,0,20,0,2
"353","企",0,0.00209583655762132,0,0.000215496218626081,0,0,0,36,0,39,0,0,2
"356","美",0,0.00209583655762132,0,0.000541425322978248,0,0,0,36,0,98,0,0,2
"358","參",0,0.0022703144840202,0,0.000198921043571726,0,0,0,39,0,36,0,0,2
"360","簡",0,0.00215399885612993,0,0.000524854922171171,0,0,0,37,0,95,0,0,2
"361","額",0,0.0032567537550552,0,0,0,0,0,35,0,0,0,0,1
"362","次遞補",0,0.00427909472145714,0,0,0,0,0,46,0,0,0,0,1
"364","不要",0,0,0.00440044591169041,0.0017117861990485,0,0,0,0,18,310,0,0,2
