"","word","weight1","weight2","weight3","weight4","weight5","weight6","num1","num2","num3","num4","num5","num6","classnum"
"1","各位大大",0.00343071506843561,0,0,0,0,0.00197884110172256,227,0,0,0,0,12,2
"6","找教授",0.00423022327032915,0,0,0.000201985456783772,0,0,280,0,0,52,0,0,2
"7","的教授",0.00404925201700581,0,0,0.000217521306115109,0,0,268,0,0,56,0,0,2
"9","教授的",0.00228326363798581,0,0,0.000372868067375643,0,0,151,0,0,96,0,0,2
"10","想請問",0.0072722358647009,0,0,0,0,0.00247301106436856,482,0,0,0,0,15,2
"12","學長姐",0.00282693832860937,0,0,0.000380634845558972,0,0,187,0,0,98,0,0,2
"22","中山",0.00317414932269892,0,0,0.000547607681771724,0,0,210,0,0,141,0,0,2
"24","中興",0.00210198066939139,0,0,0.000341800421463186,0,0,139,0,0,88,0,0,2
"27","方面",0.00278164208147115,0,0,0.00059808299085203,0,0,184,0,0,154,0,0,2
"32","未來",0.0021775187696534,0,0,0.000757259601526631,0,0,144,0,0,195,0,0,2
"40","有點",0.00243431059317815,0,0,0.00135494252861389,0,0,161,0,0,349,0,0,2
"43","考慮",0.00207176401710515,0,0,0.000260243791823143,0,0,137,0,0,67,0,0,2
"54","是否",0.0038531671546055,0,0,0.000407818149337039,0,0,255,0,0,105,0,0,2
"67","備上",0.00297791272321427,0,0,0.000302964664363013,0,0,197,0,0,78,0,0,2
"69","想問",0.00314396129191959,0,0,0,0,0.00214358840619876,208,0,0,0,0,13,2
"70","意見",0.00208687244412377,0,0,0.000198101461118001,0,0,138,0,0,51,0,0,2
"80","請益",0.0350269723300023,0,0,0,0,0,1462,0,0,0,0,0,1
"81","請問",0.00299300905470212,0,0,0,0,0.00362523561735311,198,0,0,0,0,22,2
"84","機械",0.00273634402080275,0,0,0.000205869439116452,0,0,181,0,0,53,0,0,2
"89","乙",0.00263064149247522,0,0,0.000233056942118593,0,0,174,0,0,60,0,0,2
"176","習",0.00205665538833012,0,0,0,0,0.00329614832256896,136,0,0,0,0,20,2
"213","麼",0.00223794561889421,0,0,0,0.00118151828141566,0,148,0,0,0,12,0,2
"232","謝謝大家",0.00345612270858578,0,0,0,0,0,143,0,0,0,0,0,1
"233","前輩",0.0021321965146954,0,0,0.000252476187140308,0,0,141,0,0,65,0,0,2
