"","word","sum","wordnum","judge"
"1","各位大大",12,4,TRUE
"2","研究所的",10,4,TRUE
"3","請問各位",12,4,TRUE
"4","謝謝大家",18,4,TRUE
"5","大家好",18,3,TRUE
"6","大資工",10,3,TRUE
"7","不知道",20,3,TRUE
"8","有什麼",11,3,TRUE
"9","有沒有",14,3,TRUE
"10","考古題",19,3,TRUE
"11","考試的",11,3,TRUE
"12","找教授",14,3,TRUE
"13","研究所",33,3,TRUE
"14","計算機",13,3,TRUE
"15","問一下",13,3,TRUE
"16","問大家",13,3,TRUE
"17","推薦的",12,3,TRUE
"18","這兩間",10,3,TRUE
"19","想請問",21,3,TRUE
"20","會不會",10,3,TRUE
"21","一下",25,2,TRUE
"22","一年",11,2,TRUE
"23","一個",23,2,TRUE
"24","了解",11,2,TRUE
"25","上的",13,2,TRUE
"26","也不",11,2,TRUE
"27","大的",14,2,TRUE
"28","大概",15,2,TRUE
"29","大電",10,2,TRUE
"30","大學",20,2,TRUE
"31","小弟",33,2,TRUE
"32","工作",16,2,TRUE
"33","已經",15,2,TRUE
"34","不好",12,2,TRUE
"35","不會",12,2,TRUE
"36","不過",10,2,TRUE
"37","中央",18,2,TRUE
"38","什麼",11,2,TRUE
"39","今年",18,2,TRUE
"40","比較",34,2,TRUE
"41","以想",10,2,TRUE
"42","台大",42,2,TRUE
"43","未來",10,2,TRUE
"44","目前",31,2,TRUE
"45","交大",20,2,TRUE
"46","回答",14,2,TRUE
"47","因為",43,2,TRUE
"48","在職",12,2,TRUE
"49","好像",22,2,TRUE
"50","成大",14,2,TRUE
"51","有一",10,2,TRUE
"52","有人",14,2,TRUE
"53","有推",10,2,TRUE
"54","有點",11,2,TRUE
"55","老師",43,2,TRUE
"56","考試",41,2,TRUE
"57","考慮",13,2,TRUE
"58","希望",21,2,TRUE
"59","我的",10,2,TRUE
"60","我是",11,2,TRUE
"61","沒有",34,2,TRUE
"62","所的",15,2,TRUE
"63","朋友",10,2,TRUE
"64","的考",11,2,TRUE
"65","的時",10,2,TRUE
"66","的問",10,2,TRUE
"67","的話",21,2,TRUE
"68","的學",18,2,TRUE
"69","知道",20,2,TRUE
"70","前輩",12,2,TRUE
"71","建議",16,2,TRUE
"72","很多",18,2,TRUE
"73","怎麼",21,2,TRUE
"74","政大",10,2,TRUE
"75","是不",10,2,TRUE
"76","是否",12,2,TRUE
"77","相關",14,2,TRUE
"78","看到",12,2,TRUE
"79","看看",14,2,TRUE
"80","研究",14,2,TRUE
"81","研所",23,2,TRUE
"82","科目",13,2,TRUE
"83","科技",12,2,TRUE
"84","科系",13,2,TRUE
"85","英文",15,2,TRUE
"86","計畫",11,2,TRUE
"87","時間",21,2,TRUE
"88","真的",13,2,TRUE
"89","高應",12,2,TRUE
"90","問題",28,2,TRUE
"91","專題",15,2,TRUE
"92","推甄",25,2,TRUE
"93","推薦",17,2,TRUE
"94","教授",35,2,TRUE
"95","清大",17,2,TRUE
"96","現在",22,2,TRUE
"97","畢業",17,2,TRUE
