"","word","sum","wordnum"
"1","二",17,1
"2","入",17,1
"3","力",36,1
"4","三",51,1
"5","士",18,1
"6","子",31,1
"7","工",111,1
"8","中",90,1
"9","什",32,1
"10","介",13,1
"11","內",23,1
"12","公",14,1
"13","分",87,1
"14","化",16,1
"15","友",43,1
"16","天",24,1
"17","太",18,1
"18","少",22,1
"19","心",32,1
"20","手",13,1
"21","文",56,1
"22","方",51,1
"23","月",35,1
"24","主",24,1
"25","代",33,1
"26","出",31,1
"27","加",11,1
"28","北",40,1
"29","半",18,1
"30","台",85,1
"31","四",21,1
"32","外",25,1
"33","央",10,1
"34","必",14,1
"35","未",20,1
"36","正",47,1
"37","生",86,1
"38","甲",14,1
"39","目",94,1
"40","交",44,1
"41","企",26,1
"42","先",26,1
"43","光",11,1
"44","全",17,1
"45","合",10,1
"46","名",37,1
"47","回",29,1
"48","安",14,1
"49","年",92,1
"50","式",17,1
"51","成",35,1
"52","收",14,1
"53","次",23,1
"54","老",48,1
"55","考",205,1
"56","行",20,1
"57","似",12,1
"58","位",114,1
"59","作",53,1
"60","別",16,1
"61","助",13,1
"62","否",24,1
"63","完",36,1
"64","希",30,1
"65","弟",63,1
"66","快",10,1
"67","找",56,1
"68","技",13,1
"69","決",19,1
"70","沒",136,1
"71","究",82,1
"72","系",95,1
"73","見",18,1
"74","身",17,1
"75","事",16,1
"76","來",97,1
"77","供",11,1
"78","兩",39,1
"79","初",10,1
"80","取",90,1
"81","始",36,1
"82","定",34,1
"83","底",19,1
"84","念",34,1
"85","怕",15,1
"86","性",11,1
"87","放",33,1
"88","於",49,1
"89","明",18,1
"90","朋",29,1
"91","東",13,1
"92","板",19,1
"93","果",50,1
"94","法",51,1
"95","版",28,1
"96","物",23,1
"97","直",22,1
"98","知",59,1
"99","社",16,1
"100","近",27,1
"101","金",21,1
"102","長",17,1
"103","非",16,1
"104","信",23,1
"105","前",124,1
"106","南",13,1
"107","室",13,1
"108","度",24,1
"109","建",30,1
"110","後",87,1
"111","指",19,1
"112","政",27,1
"113","查",15,1
"114","段",16,1
"115","為",70,1
"116","甚",12,1
"117","相",31,1
"118","研",128,1
"119","科",159,1
"120","背",15,1
"121","英",13,1
"122","計",43,1
"123","重",30,1
"124","面",57,1
"125","修",36,1
"126","個",99,1
"127","們",29,1
"128","候",13,1
"129","剛",12,1
"130","原",15,1
"131","家",79,1
"132","容",12,1
"133","差",22,1
"134","師",57,1
"135","料",16,1
"136","時",63,1
"137","書",27,1
"138","校",54,1
"139","氣",10,1
"140","班",47,1
"141","留",15,1
"142","益",112,1
"143","真",31,1
"144","站",11,1
"145","訊",38,1
"146","財",25,1
"147","院",10,1
"148","高",22,1
"149","假",19,1
"150","做",35,1
"151","動",20,1
"152","務",10,1
"153","商",18,1
"154","問",163,1
"155","國",25,1
"156","域",25,1
"157","基",12,1
"158","夠",20,1
"159","專",35,1
"160","常",17,1
"161","張",15,1
"162","從",15,1
"163","情",10,1
"164","授",125,1
"165","排",20,1
"166","接",29,1
"167","控",24,1
"168","推",40,1
"169","救",18,1
"170","教",157,1
"171","晚",10,1
"172","棄",21,1
"173","清",32,1
"174","現",58,1
"175","理",54,1
"176","畢",43,1
"177","紹",10,1
"178","組",42,1
"179","統",35,1
"180","習",58,1
"181","規",11,1
"182","設",13,1
"183","這",127,1
"184","通",18,1
"185","部",39,1
"186","備",156,1
"187","喜",11,1
"188","單",15,1
"189","報",59,1
"190","幾",22,1
"191","提",20,1
"192","景",15,1
"193","暑",22,1
"194","期",15,1
"195","無",16,1
"196","然",31,1
"197","發",27,1
"198","程",43,1
"199","答",17,1
"200","結",19,1
"201","給",29,1
"202","著",16,1
"203","進",24,1
"204","量",11,1
"205","開",57,1
