"","word","sum","wordnum"
"1","★",12,1
"2","二",19,1
"3","入",39,1
"4","力",21,1
"5","三",19,1
"6","口",29,1
"7","士",82,1
"8","子",12,1
"9","工",75,1
"10","中",90,1
"11","五",12,1
"12","介",12,1
"13","內",21,1
"14","公",29,1
"15","六",10,1
"16","分",42,1
"17","化",14,1
"18","午",18,1
"19","天",27,1
"20","太",20,1
"21","少",10,1
"22","心",33,1
"23","手",16,1
"24","文",75,1
"25","方",30,1
"26","日",52,1
"27","月",42,1
"28","止",15,1
"29","主",22,1
"30","代",11,1
"31","出",34,1
"32","加",40,1
"33","包",19,1
"34","北",19,1
"35","台",69,1
"36","四",12,1
"37","外",34,1
"38","央",23,1
"39","未",14,1
"40","正",57,1
"41","生",144,1
"42","甲",31,1
"43","目",57,1
"44","立",26,1
"45","交",57,1
"46","件",11,1
"47","份",13,1
"48","企",12,1
"49","先",13,1
"50","光",15,1
"51","全",12,1
"52","列",12,1
"53","合",30,1
"54","名",131,1
"55","回",13,1
"56","年",108,1
"57","式",31,1
"58","成",63,1
"59","收",32,1
"60","次",10,1
"61","老",55,1
"62","考",148,1
"63","行",29,1
"64","位",72,1
"65","作",38,1
"66","免",11,1
"67","別",15,1
"68","利",13,1
"69","否",11,1
"70","告",12,1
"71","址",23,1
"72","完",17,1
"73","希",12,1
"74","快",10,1
"75","找",19,1
"76","技",21,1
"77","改",10,1
"78","更",22,1
"79","沒",55,1
"80","究",80,1
"81","系",77,1
"82","育",22,1
"83","車",12,1
"84","並",15,1
"85","來",83,1
"86","例",10,1
"87","供",17,1
"88","兩",13,1
"89","具",17,1
"90","初",10,1
"91","制",10,1
"92","取",95,1
"93","始",21,1
"94","定",27,1
"95","屆",11,1
"96","念",10,1
"97","招",43,1
"98","放",57,1
"99","於",38,1
"100","明",26,1
"101","東",13,1
"102","果",31,1
"103","油",10,1
"104","法",18,1
"105","直",11,1
"106","知",43,1
"107","表",13,1
"108","迎",31,1
"109","金",15,1
"110","長",21,1
"111","非",12,1
"112","信",29,1
"113","前",47,1
"114","南",16,1
"115","室",83,1
"116","度",25,1
"117","建",11,1
"118","後",55,1
"119","政",13,1
"120","查",38,1
"121","活",10,1
"122","流",11,1
"123","為",65,1
"124","相",22,1
"125","研",99,1
"126","科",39,1
"127","美",12,1
"128","英",17,1
"129","計",64,1
"130","重",13,1
"131","面",31,1
"132","頁",13,1
"133","個",88,1
"134","們",60,1
"135","准",16,1
"136","剛",14,1
"137","員",11,1
"138","家",75,1
"139","師",71,1
"140","恭",11,1
"141","料",21,1
"142","時",59,1
"143","書",11,1
"144","校",40,1
"145","氣",12,1
"146","特",14,1
"147","班",45,1
"148","真",24,1
"149","祝",23,1
"150","站",21,1
"151","缺",19,1
"152","訊",39,1
"153","討",14,1
"154","院",34,1
"155","高",22,1
"156","做",10,1
"157","偷",11,1
"158","動",28,1
"159","務",11,1
"160","參",27,1
"161","問",36,1
"162","國",75,1
"163","域",24,1
"164","培",14,1
"165","基",15,1
"166","將",13,1
"167","專",34,1
"168","常",16,1
"169","強",12,1
"170","從",22,1
"171","情",116,1
"172","授",21,1
"173","接",18,1
"174","教",52,1
"175","清",19,1
"176","現",34,1
"177","理",54,1
"178","產",18,1
"179","畢",27,1
"180","章",15,1
"181","組",31,1
"182","統",21,1
"183","習",14,1
"184","處",10,1
"185","術",20,1
"186","規",11,1
"187","設",42,1
"188","這",41,1
"189","通",20,1
"190","逢",13,1
"191","連",21,1
"192","部",22,1
"193","陳",14,1
"194","備",61,1
"195","剩",10,1
"196","創",56,1
"197","博",26,1
"198","喜",16,1
"199","單",35,1
"200","報",195,1
"201","場",26,1
"202","幾",14,1
"203","提",26,1
"204","期",40,1
"205","無",17,1
"206","然",20,1
"207","畫",19,1
"208","發",44,1
"209","程",62,1
"210","答",21,1
"211","結",30,1
"212","絡",12,1
"213","給",14,1
"214","著",21,1
"215","視",12,1
"216","費",10,1
"217","超",11,1
"218","週",11,1
"219","進",33,1
"220","開",44,1
"221","間",35,1
"222","階",18,1
"223","順",14,1
"224","傳",12,1
"225","嗎",12,1
"226","想",40,1
"227","意",22,1
"228","感",15,1
"229","新",49,1
"230","會",110,1
"231","業",95,1
"232","源",10,1
"233","準",12,1
"234","當",22,1
"235","經",44,1
"236","號",14,1
"237","解",10,1
"238","詢",15,1
"239","試",119,1
"240","話",14,1
"241","該",14,1
"242","詳",10,1
"243","資",106,1
"244","路",22,1
"245","較",10,1
"246","運",12,1
"247","過",48,1
"248","道",25,1
"249","電",52,1
"250","實",109,1
"251","對",32,1
"252","暨",14,1
"253","榜",63,1
"254","甄",10,1
"255","碩",66,1
"256","稱",12,1
"257","算",11,1
"258","網",76,1
"259","與",70,1
"260","認",10,1
"261","說",27,1
"262","際",23,1
"263","需",18,1
"264","領",24,1
"265","麼",19,1
"266","寫",12,1
"267","影",40,1
"268","數",30,1
"269","樓",10,1
"270","標",10,1
"271","樣",13,1
"272","熱",15,1
"273","課",31,1
"274","談",10,1
"275","請",44,1
"276","論",24,1
"277","趣",16,1
"278","學",335,1
"279","導",10,1
"280","擇",11,1
"281","機",58,1
"282","歷",16,1
"283","興",23,1
"284","辦",13,1
"285","選",18,1
"286","錄",22,1
"287","餐",12,1
"288","幫",10,1
"289","應",29,1
"290","績",29,1
"291","聯",21,1
"292","謝",24,1
"293","還",47,1
"294","點",34,1
"295","簡",22,1
"296","職",17,1
"297","醫",43,1
"298","題",77,1
"299","額",14,1
"300","繳",10,1
"301","證",26,1
"302","關",34,1
"303","覺",14,1
"304","攝",11,1
"305","歡",37,1
"306","驗",89,1
"307","體",10,1
"308","讓",13,1
"309","一下",23,2
"310","一個",21,2
"311","一起",16,2
"312","人才",10,2
"313","入學",17,2
"314","下午",12,2
"315","口試",26,2
"316","士生",10,2
"317","士班",31,2
"318","士學",12,2
"319","大考",11,2
"320","大資",16,2
"321","大學",68,2
"322","已經",12,2
"323","不會",13,2
"324","不過",17,2
"325","中央",23,2
"326","今年",13,2
"327","日期",12,2
"328","出來",10,2
"329","加入",11,2
"330","加油",10,2
"331","去年",13,2
"332","可能",11,2
"333","台大",32,2
"334","正取",43,2
"335","甲大",11,2
"336","目前",25,2
"337","交大",38,2
"338","合作",12,2
"339","同學",26,2
"340","因為",18,2
"341","地點",11,2
"342","年度",12,2
"343","成績",28,2
"344","收到",11,2
"345","有人",13,2
"346","有興",11,2
"347","有關",12,2
"348","老師",51,2
"349","考生",10,2
"350","考場",12,2
"351","考試",52,2
"352","考證",15,2
"353","位學",10,2
"354","希望",12,2
"355","我的",20,2
"356","我們",46,2
"357","沒有",20,2
"358","究所",17,2
"359","系上",13,2
"360","系所",14,2
"361","系統",13,2
"362","具備",10,2
"363","招生",37,2
"364","放榜",31,2
"365","的同",13,2
"366","的研",20,2
"367","的實",11,2
"368","的學",15,2
"369","知道",23,2
"370","室的",10,2
"371","查詢",11,2
"372","相關",13,2
"373","研究",79,2
"374","英文",14,2
"375","計畫",17,2
"376","面試",10,2
"377","個人",16,2
"378","們實",16,2
"379","准考",16,2
"380","恭喜",11,2
"381","時間",24,2
"382","真的",17,2
"383","祝大",13,2
"384","參考",12,2
"385","問題",19,2
"386","國立",13,2
"387","國際",23,2
"388","基本",11,2
"389","專業",18,2
"390","情報",103,2
"391","教育",10,2
"392","教授",19,2
"393","清大",13,2
"394","現在",16,2
"395","產業",12,2
"396","畢業",24,2
"397","第一",12,2
"398","設計",30,2
"399","逢甲",13,2
"400","連結",15,2
"401","備取",32,2
"402","創意",11,2
"403","創新",13,2
"404","創業",15,2
"405","博士",23,2
"406","報名",61,2
"407","報考",11,2
"408","提供",14,2
"409","最後",10,2
"410","開始",21,2
"411","感謝",10,2
"412","資工",32,2
"413","資料",15,2
"414","資訊",28,2
"415","路報",11,2
"416","實驗",79,2
"417","碩士",52,2
"418","管理",15,2
"419","網址",21,2
"420","網頁",13,2
"421","網站",12,2
"422","網路",16,2
"423","說明",10,2
"424","需要",12,2
"425","領域",23,2
"426","影像",18,2
"427","影機",11,2
"428","課程",22,2
"429","論文",10,2
"430","學生",35,2
"431","學年",15,2
"432","學位",15,2
"433","學長",10,2
"434","學校",14,2
