"","word","sum","wordnum","judge"
"1","想請問一下",10,5,TRUE
"2","各位大大",10,4,TRUE
"3","有推薦的",12,4,TRUE
"4","研究所的",10,4,TRUE
"5","請問各位",15,4,TRUE
"6","謝謝大家",21,4,TRUE
"7","大家好",25,3,TRUE
"8","不知道",14,3,TRUE
"9","去補習",11,3,TRUE
"10","有沒有",12,3,TRUE
"11","考古題",26,3,TRUE
"12","找教授",23,3,TRUE
"13","所以想",10,3,TRUE
"14","的老師",10,3,TRUE
"15","的問題",11,3,TRUE
"16","研究所",28,3,TRUE
"17","研究室",12,3,TRUE
"18","研所的",12,3,TRUE
"19","科技部",10,3,TRUE
"20","計算機",11,3,TRUE
"21","准考證",12,3,TRUE
"22","問大家",14,3,TRUE
"23","想請問",18,3,TRUE
"24","經研所",17,3,TRUE
"25","補習班",12,3,TRUE
"26","電子學",15,3,TRUE
"27","實驗室",10,3,TRUE
"28","一下",27,2,TRUE
"29","一年",14,2,TRUE
"30","一個",22,2,TRUE
"31","了解",12,2,TRUE
"32","上的",12,2,TRUE
"33","上課",14,2,TRUE
"34","也不",13,2,TRUE
"35","大大",12,2,TRUE
"36","大的",12,2,TRUE
"37","大概",19,2,TRUE
"38","大電",11,2,TRUE
"39","大學",22,2,TRUE
"40","小弟",35,2,TRUE
"41","工作",17,2,TRUE
"42","工所",11,2,TRUE
"43","工程",10,2,TRUE
"44","已經",14,2,TRUE
"45","不要",10,2,TRUE
"46","不會",24,2,TRUE
"47","中山",10,2,TRUE
"48","中央",19,2,TRUE
"49","什麼",16,2,TRUE
"50","今年",18,2,TRUE
"51","方向",14,2,TRUE
"52","方法",10,2,TRUE
"53","比較",33,2,TRUE
"54","台大",33,2,TRUE
"55","打算",10,2,TRUE
"56","未來",11,2,TRUE
"57","本可",10,2,TRUE
"58","目前",33,2,TRUE
"59","交大",18,2,TRUE
"60","同學",11,2,TRUE
"61","因為",59,2,TRUE
"62","在職",15,2,TRUE
"63","好像",21,2,TRUE
"64","老師",46,2,TRUE
"65","考上",14,2,TRUE
"66","考試",50,2,TRUE
"67","考慮",18,2,TRUE
"68","似乎",11,2,TRUE
"69","希望",25,2,TRUE
"70","我是",18,2,TRUE
"71","我們",12,2,TRUE
"72","沒有",40,2,TRUE
"73","系統",11,2,TRUE
"74","放棄",12,2,TRUE
"75","朋友",14,2,TRUE
"76","林昀",10,2,TRUE
"77","的考",15,2,TRUE
"78","的書",10,2,TRUE
"79","的話",19,2,TRUE
"80","的學",19,2,TRUE
"81","知道",15,2,TRUE
"82","前輩",11,2,TRUE
"83","建議",19,2,TRUE
"84","很多",24,2,TRUE
"85","怎麼",16,2,TRUE
"86","是不",10,2,TRUE
"87","是否",10,2,TRUE
"88","是很",10,2,TRUE
"89","相關",20,2,TRUE
"90","看看",19,2,TRUE
"91","研究",10,2,TRUE
"92","科目",10,2,TRUE
"93","科系",10,2,TRUE
"94","計組",10,2,TRUE
"95","計畫",13,2,TRUE
"96","時間",20,2,TRUE
"97","班的",11,2,TRUE
"98","真的",19,2,TRUE
"99","能力",10,2,TRUE
"100","參考",12,2,TRUE
"101","問題",12,2,TRUE
"102","專題",17,2,TRUE
"103","推甄",32,2,TRUE
"104","推薦",14,2,TRUE
"105","教授",40,2,TRUE
"106","淡江",10,2,TRUE
"107","清大",13,2,TRUE
"108","現在",24,2,TRUE
"109","畢業",17,2,TRUE
"110","統計",24,2,TRUE
"111","設計",15,2,TRUE
"112","這兩",11,2,TRUE
"113","這樣",14,2,TRUE
"114","都是",10,2,TRUE
"115","麻煩",17,2,TRUE
"116","備上",10,2,TRUE
"117","最近",15,2,TRUE
"118","最後",12,2,TRUE
"119","猶豫",12,2,TRUE
"120","發現",14,2,TRUE
"121","開始",13,2,TRUE
"122","順利",16,2,TRUE
"123","想要",14,2,TRUE
"124","想問",15,2,TRUE
"125","想請",10,2,TRUE
"126","意見",10,2,TRUE
"127","感謝",18,2,TRUE
"128","感覺",15,2,TRUE
"129","會有",15,2,TRUE
"130","準備",28,2,TRUE
"131","經濟",18,2,TRUE
"132","解答",12,2,TRUE
"133","試的",10,2,TRUE
"134","資工",36,2,TRUE
"135","資料",11,2,TRUE
"136","電子",10,2,TRUE
"137","碩士",13,2,TRUE
"138","管理",18,2,TRUE
"139","數學",10,2,TRUE
"140","線上",14,2,TRUE
"141","課程",20,2,TRUE
"142","請益",109,2,TRUE
"143","請問",21,2,TRUE
"144","請教",14,2,TRUE
"145","學長",16,2,TRUE
"146","學校",48,2,TRUE
"147","機械",11,2,TRUE
"148","機會",10,2,TRUE
"149","機電",13,2,TRUE
"150","選擇",27,2,TRUE
"151","幫忙",11,2,TRUE
"152","應該",18,2,TRUE
"153","謝謝",42,2,TRUE
"154","還有",15,2,TRUE
"155","還是",21,2,TRUE
"156","題目",14,2,TRUE
"157","題庫",14,2,TRUE
"158","願意",10,2,TRUE
"159","覺得",13,2,TRUE
"160","二",10,1,TRUE
"161","力",14,1,TRUE
"162","三",20,1,TRUE
"163","子",14,1,TRUE
"164","工",27,1,TRUE
"165","中",35,1,TRUE
"166","內",12,1,TRUE
"167","分",44,1,TRUE
"168","友",15,1,TRUE
"169","天",15,1,TRUE
"170","太",22,1,TRUE
"171","少",21,1,TRUE
"172","心",18,1,TRUE
"173","手",13,1,TRUE
"174","文",30,1,TRUE
"175","方",21,1,TRUE
"176","日",10,1,TRUE
"177","丙",12,1,TRUE
"178","主",12,1,TRUE
"179","代",13,1,TRUE
"180","出",35,1,TRUE
"181","北",19,1,TRUE
"182","台",22,1,TRUE
"183","外",29,1,TRUE
"184","正",22,1,TRUE
"185","生",53,1,TRUE
"186","立",10,1,TRUE
"187","先",28,1,TRUE
"188","全",27,1,TRUE
"189","名",28,1,TRUE
"190","回",15,1,TRUE
"191","年",27,1,TRUE
"192","式",18,1,TRUE
"193","成",21,1,TRUE
"194","收",11,1,TRUE
"195","考",53,1,TRUE
"196","位",54,1,TRUE
"197","完",22,1,TRUE
"198","快",10,1,TRUE
"199","找",37,1,TRUE
"200","沒",26,1,TRUE
"201","系",34,1,TRUE
"202","身",13,1,TRUE
"203","事",10,1,TRUE
"204","來",22,1,TRUE
"205","兩",20,1,TRUE
"206","制",11,1,TRUE
"207","取",36,1,TRUE
"208","姐",12,1,TRUE
"209","定",24,1,TRUE
"210","屆",10,1,TRUE
"211","幸",11,1,TRUE
"212","念",11,1,TRUE
"213","怕",10,1,TRUE
"214","放",14,1,TRUE
"215","於",26,1,TRUE
"216","果",23,1,TRUE
"217","法",26,1,TRUE
