"","word","sum","wordnum","judge"
"1","明年即將入學之",2,7,TRUE
"2","博士班研究生",2,6,TRUE
"3","會計研究月刊",2,6,TRUE
"4","可以一起",2,4,TRUE
"5","相關科系",2,4,TRUE
"6","研究助理",2,4,TRUE
"7","資訊內涵",2,4,TRUE
"8","電腦視覺",2,4,TRUE
"9","學習相關",2,4,TRUE
"10","應徵資料",2,4,TRUE
"11","站內信",2,3,TRUE
"12","理相關",2,3,TRUE
"13","一起",2,2,TRUE
"14","士約",2,2,TRUE
"15","大學",2,2,TRUE
"16","尤佳",2,2,TRUE
"17","台大",2,2,TRUE
"18","有人",3,2,TRUE
"19","希望",2,2,TRUE
"20","材料",3,2,TRUE
"21","協助",2,2,TRUE
"22","物理",2,2,TRUE
"23","研究",6,2,TRUE
"24","資料",2,2,TRUE
"25","電子",2,2,TRUE
"26","實驗",2,2,TRUE
"27","碩士",2,2,TRUE
"28","徵求",6,2,TRUE
"29","衝刺",2,2,TRUE
"30","課程",2,2,TRUE
"31","學歷",2,2,TRUE
"32","戰友",2,2,TRUE
"33","謝謝",2,2,TRUE
"34","讀書",2,2,TRUE
"35","力",2,1,TRUE
"36","子",3,1,TRUE
"37","工",3,1,TRUE
"38","內",2,1,TRUE
"39","分",3,1,TRUE
"40","月",2,1,TRUE
"41","刊",2,1,TRUE
"42","台",2,1,TRUE
"43","名",2,1,TRUE
"44","式",3,1,TRUE
"45","考",2,1,TRUE
"46","作",3,1,TRUE
"47","系",2,1,TRUE
"48","享",2,1,TRUE
"49","具",2,1,TRUE
"50","於",2,1,TRUE
"51","金",2,1,TRUE
"52","科",2,1,TRUE
"53","計",2,1,TRUE
"54","家",2,1,TRUE
"55","書",2,1,TRUE
"56","缺",2,1,TRUE
"57","討",2,1,TRUE
"58","問",2,1,TRUE
"59","理",2,1,TRUE
"60","統",2,1,TRUE
"61","期",4,1,TRUE
"62","結",2,1,TRUE
"63","開",2,1,TRUE
"64","嗎",3,1,TRUE
"65","想",2,1,TRUE
"66","意",2,1,TRUE
"67","經",2,1,TRUE
"68","解",2,1,TRUE
"69","話",2,1,TRUE
"70","資",2,1,TRUE
"71","電",2,1,TRUE
"72","圖",2,1,TRUE
"73","對",2,1,TRUE
"74","碩",2,1,TRUE
"75","與",6,1,TRUE
"76","影",2,1,TRUE
"77","徵",4,1,TRUE
"78","請",4,1,TRUE
"79","論",2,1,TRUE
"80","學",2,1,TRUE
"81","機",2,1,TRUE
"82","總",2,1,TRUE
"83","薪",2,1,TRUE
"84","謝",2,1,TRUE
"85","職",2,1,TRUE
