"","word","sum","wordnum"
"1","▁",28,1
"2","二",28,1
"3","入",64,1
"4","力",37,1
"5","三",18,1
"6","口",17,1
"7","士",138,1
"8","子",16,1
"9","山",11,1
"10","工",107,1
"11","中",91,1
"12","五",13,1
"13","介",17,1
"14","元",16,1
"15","內",28,1
"16","公",30,1
"17","六",13,1
"18","分",44,1
"19","化",34,1
"20","午",12,1
"21","友",14,1
"22","天",16,1
"23","心",26,1
"24","文",52,1
"25","方",34,1
"26","日",86,1
"27","月",47,1
"28","止",13,1
"29","主",25,1
"30","代",12,1
"31","出",37,1
"32","加",33,1
"33","包",12,1
"34","北",33,1
"35","台",69,1
"36","四",12,1
"37","外",37,1
"38","央",14,1
"39","市",15,1
"40","平",14,1
"41","未",14,1
"42","正",41,1
"43","民",14,1
"44","生",214,1
"45","目",28,1
"46","立",43,1
"47","交",36,1
"48","企",19,1
"49","先",11,1
"50","全",18,1
"51","共",17,1
"52","合",43,1
"53","名",163,1
"54","安",13,1
"55","年",118,1
"56","式",22,1
"57","成",39,1
"58","收",10,1
"59","次",30,1
"60","老",63,1
"61","考",112,1
"62","行",30,1
"63","位",54,1
"64","作",35,1
"65","免",11,1
"66","別",11,1
"67","利",20,1
"68","助",17,1
"69","含",10,1
"70","告",18,1
"71","址",21,1
"72","完",11,1
"73","希",22,1
"74","找",12,1
"75","技",43,1
"76","更",26,1
"77","求",15,1
"78","沒",22,1
"79","究",146,1
"80","系",86,1
"81","育",17,1
"82","身",11,1
"83","並",20,1
"84","事",12,1
"85","享",11,1
"86","來",75,1
"87","供",11,1
"88","兩",19,1
"89","具",18,1
"90","制",15,1
"91","協",10,1
"92","取",44,1
"93","始",10,1
"94","定",37,1
"95","性",11,1
"96","招",85,1
"97","放",47,1
"98","於",34,1
"99","明",28,1
"100","果",18,1
"101","法",24,1
"102","物",28,1
"103","知",19,1
"104","社",14,1
"105","表",11,1
"106","迎",44,1
"107","金",31,1
"108","長",23,1
"109","非",19,1
"110","信",15,1
"111","前",34,1
"112","型",11,1
"113","室",80,1
"114","度",62,1
"115","建",11,1
"116","律",10,1
"117","後",35,1
"118","指",18,1
"119","政",29,1
"120","星",19,1
