"","word","sum","wordnum"
"1","乙",25,1
"2","二",16,1
"3","入",17,1
"4","力",25,1
"5","三",10,1
"6","士",16,1
"7","子",34,1
"8","山",16,1
"9","工",120,1
"10","中",73,1
"11","什",29,1
"12","內",28,1
"13","公",25,1
"14","分",54,1
"15","化",10,1
"16","友",35,1
"17","天",21,1
"18","太",28,1
"19","少",16,1
"20","心",35,1
"21","文",57,1
"22","方",67,1
"23","日",13,1
"24","主",20,1
"25","代",24,1
"26","出",18,1
"27","北",22,1
"28","台",64,1
"29","四",24,1
"30","外",31,1
"31","央",11,1
"32","未",22,1
"33","正",37,1
"34","生",64,1
"35","甲",38,1
"36","目",96,1
"37","立",12,1
"38","交",39,1
"39","先",35,1
"40","全",23,1
"41","名",34,1
"42","回",16,1
"43","安",16,1
"44","年",84,1
"45","式",30,1
"46","成",42,1
"47","收",11,1
"48","早",18,1
"49","老",75,1
"50","考",110,1
"51","行",16,1
"52","位",145,1
"53","作",53,1
"54","別",11,1
"55","助",11,1
"56","否",22,1
"57","完",16,1
"58","希",30,1
"59","弟",65,1
"60","找",65,1
"61","技",16,1
"62","求",12,1
"63","沒",83,1
"64","究",74,1
"65","系",58,1
"66","見",14,1
"67","身",10,1
"68","事",18,1
"69","來",69,1
"70","兩",43,1
"71","初",11,1
"72","取",61,1
"73","始",10,1
"74","姐",16,1
"75","定",22,1
"76","幸",22,1
"77","性",11,1
"78","放",23,1
"79","於",31,1
"80","明",26,1
"81","朋",23,1
"82","板",17,1
"83","果",38,1
"84","況",14,1
"85","法",38,1
"86","爬",16,1
"87","版",37,1
"88","物",13,1
"89","直",20,1
"90","知",62,1
"91","近",20,1
"92","金",23,1
"93","長",31,1
"94","非",22,1
"95","便",10,1
"96","信",27,1
"97","前",123,1
"98","室",30,1
"99","度",17,1
"100","建",34,1
"101","後",42,1
"102","指",19,1
"103","查",14,1
"104","段",18,1
"105","流",13,1
"106","為",75,1
"107","相",49,1
"108","研",100,1
"109","科",94,1
"110","英",10,1
"111","計",34,1
"112","重",21,1
"113","面",98,1
"114","風",17,1
"115","修",37,1
"116","個",71,1
"117","們",29,1
"118","剛",11,1
"119","原",16,1
"120","家",79,1
"121","師",85,1
"122","料",21,1
"123","時",51,1
"124","書",19,1
"125","校",39,1
"126","氣",20,1
"127","班",50,1
"128","益",120,1
"129","真",23,1
"130","站",20,1
"131","訊",44,1
"132","討",10,1
"133","財",12,1
"134","院",12,1
"135","高",25,1
"136","假",10,1
"137","做",37,1
"138","動",11,1
"139","商",12,1
"140","問",164,1
"141","國",23,1
"142","域",39,1
"143","夠",11,1
"144","專",31,1
"145","常",20,1
"146","強",10,1
"147","從",10,1
"148","情",14,1
"149","授",191,1
"150","排",18,1
"151","接",20,1
"152","推",82,1
"153","教",220,1
"154","械",13,1
"155","清",25,1
"156","現",24,1
"157","理",56,1
"158","畢",49,1
"159","章",10,1
"160","組",90,1
"161","統",18,1
"162","習",34,1
"163","處",10,1
"164","設",15,1
"165","這",70,1
"166","通",29,1
"167","部",25,1
"168","陳",15,1
"169","麻",11,1
"170","備",87,1
"171","單",12,1
"172","報",43,1
"173","幾",34,1
"174","提",24,1
"175","期",16,1
"176","無",18,1
"177","然",29,1
"178","發",22,1
"179","程",48,1
"180","答",17,1
"181","結",18,1
"182","給",23,1
"183","著",13,1
"184","評",19,1
"185","進",27,1
"186","開",23,1
"187","間",35,1
"188","陽",10,1
"189","階",21,1
"190","黃",13,1
"191","嗎",53,1
"192","想",179,1
"193","意",28,1
"194","感",54,1
"195","新",16,1
"196","會",115,1
"197","業",70,1
"198","概",24,1
"199","源",14,1
"200","準",42,1
"201","煩",11,1
"202","當",22,1
"203","經",37,1
"204","補",25,1
"205","解",23,1
"206","詢",13,1
"207","試",92,1
"208","話",15,1
"209","該",16,1
"210","資",149,1
"211","跨",10,1
"212","路",23,1
"213","較",67,1
"214","過",65,1
"215","道",50,1
"216","電",82,1
"217","實",56,1
"218","對",57,1
"219","榜",13,1
"220","滿",18,1
"221","甄",44,1
"222","碩",38,1
"223","種",12,1
"224","算",25,1
"225","網",46,1
"226","與",30,1
"227","認",10,1
"228","說",48,1
"229","需",15,1
"230","領",39,1
"231","麼",52,1
"232","價",10,1
"233","寫",13,1
"234","影",14,1
"235","德",10,1
"236","慮",11,1
"237","數",26,1
"238","標",15,1
"239","樣",21,1
"240","課",51,1
"241","請",234,1
"242","論",23,1
"243","趣",45,1
"244","輩",24,1
"245","器",10,1
"246","學",207,1
"247","導",12,1
"248","擇",24,1
"249","機",67,1
"250","歷",20,1
"251","興",55,1
"252","融",13,1
"253","選",44,1
"254","錄",19,1
"255","錯",14,1
"256","優",10,1
"257","幫",24,1
"258","應",25,1
"259","聯",11,1
"260","薦",30,1
"261","講",11,1
"262","謝",149,1
"263","還",84,1
"264","雖",14,1
"265","點",54,1
"266","職",33,1
"267","題",71,1
"268","邊",11,1
"269","關",62,1
"270","類",15,1
"271","覺",30,1
"272","議",38,1
"273","護",12,1
"274","歡",12,1
"275","聽",29,1
"276","讀",28,1
"277","驗",51,1
"278","體",12,1
"279","蠻",12,1
"280","一下",41,2
"281","一個",13,2
"282","一階",11,2
"283","乙組",14,2
"284","了解",16,2
"285","上的",13,2
"286","也不",12,2
"287","也有",10,2
"288","也是",24,2
"289","大大",46,2
"290","大的",10,2
"291","大們",13,2
"292","大概",13,2
"293","大資",27,2
"294","大電",26,2
"295","大碩",14,2
"296","大學",24,2
"297","小弟",64,2
"298","工作",42,2
"299","工所",26,2
"300","已經",10,2
"301","不太",11,2
"302","不知",31,2
"303","不會",22,2
"304","不過",16,2
"305","不錯",12,2
"306","中山",14,2
"307","中央",10,2
"308","中興",10,2
"309","什麼",29,2
"310","今年",19,2
"311","方向",17,2
"312","方式",12,2
"313","方面",25,2
"314","比較",54,2
"315","主要",10,2
"316","北科",11,2
"317","可能",11,2
"318","台大",45,2
"319","台科",10,2
"320","四大",10,2
"321","未來",22,2
"322","本科",10,2
"323","正取",14,2
"324","甲組",25,2
"325","目前",69,2
"326","目標",14,2
"327","交大",30,2
"328","同學",11,2
"329","因為",46,2
"330","在職",22,2
"331","好像",33,2
"332","成大",19,2
"333","有人",12,2
"334","有什",10,2
"335","有沒",23,2
"336","有其",10,2
"337","有幸",18,2
"338","有推",11,2
"339","有興",33,2
"340","有點",10,2
"341","老師",68,2
"342","考試",19,2
"343","考慮",11,2
"344","位大",30,2
"345","位前",12,2
"346","位教",18,2
"347","希望",30,2
"348","弟有",11,2
"349","我的",11,2
"350","找到",11,2
"351","找教",20,2
"352","沒有",49,2
"353","究所",37,2
"354","系統",10,2
"355","兩年",11,2
"356","兩個",10,2
"357","取生",10,2
"358","所的",14,2
"359","朋友",23,2
"360","板上",14,2
"361","法研",12,2
"362","爬文",10,2
"363","版上",17,2
