"","word","sum","wordnum","judge"
"1","請問一下",10,4,TRUE
"2","請問各位",10,4,TRUE
"3","謝謝大家",17,4,TRUE
"4","大家好",20,3,TRUE
"5","不知道",12,3,TRUE
"6","成績單",12,3,TRUE
"7","有什麼",10,3,TRUE
"8","有沒有",17,3,TRUE
"9","有經驗",10,3,TRUE
"10","有機會",11,3,TRUE
"11","所以想",13,3,TRUE
"12","的研究",14,3,TRUE
"13","研究所",39,3,TRUE
"14","研究計",10,3,TRUE
"15","推薦人",11,3,TRUE
"16","推薦函",18,3,TRUE
"17","推薦信",20,3,TRUE
"18","教授的",11,3,TRUE
"19","想請問",40,3,TRUE
"20","會不會",10,3,TRUE
"21","準備考",11,3,TRUE
"22","審資料",11,3,TRUE
"23","請問大",11,3,TRUE
"24","學長姐",13,3,TRUE
"25","一下",27,2,TRUE
"26","一個",15,2,TRUE
"27","一點",10,2,TRUE
"28","上的",11,2,TRUE
"29","上傳",49,2,TRUE
"30","也有",10,2,TRUE
"31","士班",10,2,TRUE
"32","大三",13,2,TRUE
"33","大大",23,2,TRUE
"34","大四",14,2,TRUE
"35","大的",13,2,TRUE
"36","大推",14,2,TRUE
"37","大概",16,2,TRUE
"38","大資",11,2,TRUE
"39","大學",24,2,TRUE
"40","小弟",32,2,TRUE
"41","工作",11,2,TRUE
"42","工所",16,2,TRUE
"43","工程",13,2,TRUE
"44","已經",11,2,TRUE
"45","不太",12,2,TRUE
"46","不過",15,2,TRUE
"47","中山",12,2,TRUE
"48","之前",10,2,TRUE
"49","什麼",12,2,TRUE
"50","今年",23,2,TRUE
"51","內容",15,2,TRUE
"52","分享",15,2,TRUE
"53","分析",10,2,TRUE
"54","化學",10,2,TRUE
"55","方面",12,2,TRUE
"56","比較",35,2,TRUE
"57","可能",11,2,TRUE
"58","台大",40,2,TRUE
"59","台科",10,2,TRUE
"60","未來",10,2,TRUE
"61","正在",10,2,TRUE
"62","申請",17,2,TRUE
"63","目前",57,2,TRUE
"64","目標",10,2,TRUE
"65","因為",45,2,TRUE
"66","好像",14,2,TRUE
"67","成大",29,2,TRUE
"68","成績",16,2,TRUE
"69","有一",14,2,TRUE
"70","有人",19,2,TRUE
"71","有點",12,2,TRUE
"72","老師",41,2,TRUE
"73","考研",10,2,TRUE
"74","考試",28,2,TRUE
"75","考慮",13,2,TRUE
"76","希望",19,2,TRUE
"77","我也",12,2,TRUE
"78","我不",11,2,TRUE
"79","我的",15,2,TRUE
"80","我是",12,2,TRUE
"81","我想",10,2,TRUE
"82","沒有",54,2,TRUE
"83","系上",10,2,TRUE
"84","系所",14,2,TRUE
"85","系的",12,2,TRUE
"86","系排",16,2,TRUE
"87","系統",14,2,TRUE
"88","其實",10,2,TRUE
"89","所的",27,2,TRUE
"90","朋友",20,2,TRUE
"91","東西",13,2,TRUE
"92","的大",15,2,TRUE
"93","的時",13,2,TRUE
"94","的話",17,2,TRUE
"95","的資",12,2,TRUE
"96","的課",10,2,TRUE
"97","的學",19,2,TRUE
"98","直接",18,2,TRUE
"99","知道",15,2,TRUE
"100","前輩",14,2,TRUE
"101","建議",14,2,TRUE
"102","很多",12,2,TRUE
"103","怎麼",12,2,TRUE
"104","政大",17,2,TRUE
"105","是不",12,2,TRUE
"106","是在",10,2,TRUE
"107","是有",12,2,TRUE
"108","是否",20,2,TRUE
"109","是我",18,2,TRUE
"110","相關",21,2,TRUE
"111","看到",10,2,TRUE
