"","word","sum","wordnum","judge"
"1","應用藝術研究所乙組",3,9,TRUE
"2","若有問題可回信",3,7,TRUE
"3","設計學系碩士班",3,7,TRUE
"4","跨領域法律人的",3,7,TRUE
"5","簡單的自我介紹",3,7,TRUE
"6","分鐘自我介紹",5,6,TRUE
"7","心目中理想的",3,6,TRUE
"8","正取最低總分",3,6,TRUE
"9","自我介紹一下",4,6,TRUE
"10","你為什麼要來",3,6,TRUE
"11","非本科系學生",3,6,TRUE
"12","一個教授問",4,5,TRUE
"13","大科法所的",3,5,TRUE
"14","升大三暑假",4,5,TRUE
"15","升大四暑假",3,5,TRUE
"16","王立宏老師",3,5,TRUE
"17","可以講一下",4,5,TRUE
"18","可壓縮流的",4,5,TRUE
"19","交大科法所",4,5,TRUE
"20","交大應藝所",3,5,TRUE
"21","有工作經驗",4,5,TRUE
"22","有任何問題",5,5,TRUE
"23","老師的工數",6,5,TRUE
"24","老師的教學",3,5,TRUE
"25","希望大家都",3,5,TRUE
"26","我覺得自己",3,5,TRUE
"27","更重要的是",3,5,TRUE
"28","的心理準備",3,5,TRUE
"29","的物理意義",7,5,TRUE
"30","的研究計畫",4,5,TRUE
"31","的備審資料",4,5,TRUE
"32","的融會貫通",3,5,TRUE
"33","是自我介紹",3,5,TRUE
"34","英文能力關",4,5,TRUE
"35","面試的時候",8,5,TRUE
"36","時間就到了",3,5,TRUE
"37","根本不知道",3,5,TRUE
"38","問流力熱傳",3,5,TRUE
"39","基本資料關",3,5,TRUE
"40","理想的學校",3,5,TRUE
"41","組推甄心得",5,5,TRUE
"42","喻超凡老師",5,5,TRUE
"43","開始補偉文",3,5,TRUE
"44","準備過程中",3,5,TRUE
"45","農業經濟學",3,5,TRUE
"46","一位老師",4,4,TRUE
"47","一直以來",3,4,TRUE
"48","一段時間",4,4,TRUE
"49","一個教授",3,4,TRUE
"50","一個禮拜",5,4,TRUE
"51","一間面試",3,4,TRUE
"52","人的經驗",3,4,TRUE
"53","千萬不要",6,4,TRUE
"54","大一大二",4,4,TRUE
"55","大三暑假",3,4,TRUE
"56","大和交大",4,4,TRUE
"57","大面試一",3,4,TRUE
"58","大家都能",4,4,TRUE
"59","大概就是",3,4,TRUE
"60","大機械所",3,4,TRUE
"61","工作內容",3,4,TRUE
"62","工作經驗",6,4,TRUE
"63","不知道要",3,4,TRUE
"64","內容紀錄",3,4,TRUE
"65","另一個教",3,4,TRUE
"66","另外就是",3,4,TRUE
"67","台大工科",5,4,TRUE
"68","台大光電",3,4,TRUE
"69","台大法律",3,4,TRUE
"70","台大商研",5,4,TRUE
"71","台大應力",6,4,TRUE
"72","平面作品",3,4,TRUE
"73","未來發展",3,4,TRUE
"74","交大科法",4,4,TRUE
"75","交大面試",4,4,TRUE
"76","交大教授",3,4,TRUE
"77","交大機械",4,4,TRUE
"78","交流活動",3,4,TRUE
"79","交通大學",4,4,TRUE
"80","企業才能",3,4,TRUE
"81","因為推甄",3,4,TRUE
"82","在面試前",3,4,TRUE
"83","在校成績",7,4,TRUE
"84","成大機械",14,4,TRUE
"85","有助審查",3,4,TRUE
"86","有些東西",5,4,TRUE
"87","有需要的",3,4,TRUE
"88","老師上課",4,4,TRUE
"89","老師的課",5,4,TRUE
"90","考古題班",5,4,TRUE
"91","考研究所",4,4,TRUE
"92","自我介紹",18,4,TRUE
"93","但是如果",3,4,TRUE
"94","但是要考",3,4,TRUE
"95","作品集的",3,4,TRUE
"96","作品數量",3,4,TRUE
"97","你的回答",4,4,TRUE
"98","完全沒有",3,4,TRUE
"99","希望能幫",3,4,TRUE
"100","希望這篇",3,4,TRUE
"101","志工機構",3,4,TRUE
"102","我一開始",3,4,TRUE
"103","我介紹完",3,4,TRUE
"104","我自己是",3,4,TRUE
"105","我抽到的",3,4,TRUE
"106","我的作品",3,4,TRUE
"107","我的備審",3,4,TRUE
