"","word","sum","wordnum"
"1","力",2,1
"2","士",5,1
"3","子",7,1
"4","工",7,1
"5","中",5,1
"6","分",6,1
"7","友",2,1
"8","文",2,1
"9","方",2,1
"10","月",3,1
"11","父",5,1
"12","世",2,1
"13","付",2,1
"14","出",12,1
"15","台",13,1
"16","四",2,1
"17","正",2,1
"18","母",5,1
"19","生",3,1
"20","目",6,1
"21","先",3,1
"22","名",2,1
"23","年",6,1
"24","老",4,1
"25","考",12,1
"26","位",4,1
"27","低",2,1
"28","作",2,1
"29","努",2,1
"30","完",2,1
"31","希",2,1
"32","弟",5,1
"33","材",2,1
"34","沒",6,1
"35","究",4,1
"36","系",2,1
"37","辛",4,1
"38","來",5,1
"39","兩",3,1
"40","始",2,1
"41","承",2,1
"42","於",4,1
"43","明",2,1
"44","朋",2,1
"45","果",3,1
"46","法",2,1
"47","爬",2,1
"48","玩",3,1
"49","直",2,1
"50","知",2,1
"51","社",2,1
"52","金",2,1
"53","便",2,1
"54","前",8,1
"55","建",2,1
"56","後",7,1
"57","洪",3,1
"58","活",2,1
"59","為",5,1
"60","相",2,1
"61","研",5,1
"62","科",3,1
"63","苦",4,1
"64","計",4,1
"65","個",3,1
"66","家",2,1
"67","師",4,1
"68","庫",6,1
"69","時",2,1
"70","書",5,1
"71","校",2,1
"72","班",8,1
"73","留",2,1
"74","真",5,1
"75","祝",2,1
"76","討",7,1
"77","記",3,1
"78","高",4,1
"79","鬥",2,1
"80","唸",7,1
"81","問",6,1
"82","國",10,1
"83","基",2,1
"84","堂",3,1
"85","夠",4,1
"86","專",2,1
"87","從",2,1
"88","接",2,1
"89","推",3,1
"90","教",6,1
"91","械",5,1
"92","現",2,1
"93","畢",2,1
"94","組",5,1
"95","習",3,1
"96","途",2,1
"97","這",8,1
"98","部",4,1
"99","備",6,1
"100","博",2,1
"101","報",3,1
"102","幾",2,1
"103","筆",4,1
"104","結",5,1
"105","評",2,1
"106","買",4,1
"107","費",4,1
"108","逸",3,1
"109","開",3,1
"110","間",4,1
"111","嗎",6,1
"112","媽",2,1
"113","想",7,1
"114","會",8,1
"115","業",2,1
"116","概",3,1
"117","準",6,1
"118","義",5,1
"119","補",7,1
"120","該",2,1
"121","資",15,1
"122","路",2,1
"123","較",4,1
"124","過",4,1
"125","電",6,1
"126","對",3,1
"127","碩",7,1
"128","種",9,1
"129","算",2,1
"130","網",3,1
"131","說",3,1
"132","價",3,1
"133","劉",3,1
"134","廠",2,1
"135","樣",3,1
"136","課",8,1
"137","請",5,1
"138","論",7,1
"139","奮",2,1
"140","學",12,1
"141","擇",2,1
"142","機",6,1
"143","選",2,1
"144","錢",8,1
"145","薦",3,1
"146","薪",2,1
"147","講",6,1
"148","賺",2,1
"149","購",3,1
"150","還",12,1
"151","點",5,1
"152","題",12,1
"153","邊",2,1
"154","籍",2,1
"155","議",2,1
"156","聽",2,1
"157","讀",2,1
"158","體",3,1
"159","灣",8,1
"160","一個",2,2
"161","一筆",2,2
"162","了吧",2,2
"163","上了",2,2
"164","上購",2,2
"165","也是",2,2
"166","大資",2,2
"167","大碩",2,2
"168","子學",5,2
"169","小弟",5,2
"170","工作",2,2
"171","不知",2,2
"172","不會",2,2
"173","分是",3,2
"174","方向",2,2
"175","比較",4,2
"176","父母",5,2
"177","出國",9,2
"178","只能",3,2
"179","台大",5,2
"180","台灣",8,2
"181","正課",2,2
"182","母賺",2,2
"183","生活",2,2
"184","目前",5,2
"185","各種",6,2
"186","在台",7,2
"187","好像",2,2
"188","年的",2,2
"189","有補",2,2
"190","有錢",2,2
"191","老師",4,2
"192","考的",2,2
"193","考題",2,2
"194","但還",2,2
"195","你父",2,2
"196","努力",2,2
"197","希望",2,2
"198","沒有",3,2
"199","究所",4,2
"200","辛苦",4,2
"201","所的",2,2
"202","明年",2,2
"203","朋友",2,2
"204","的人",2,2
"205","的考",2,2
"206","的辛",2,2
"207","的書",3,2
"208","的部",2,2
"209","的講",2,2
"210","前途",2,2
"211","建議",2,2
"212","後年",2,2
"213","是不",2,2
"214","是只",2,2
"215","是有",2,2
"216","是都",2,2
"217","是靠",2,2
"218","洪逸",3,2
"219","為了",2,2
"220","研究",4,2
"221","要到",2,2
"222","要補",2,2
"223","庫班",6,2
"224","書籍",2,2
"225","校的",2,2
"226","真的",3,2
"227","能夠",3,2
"228","討論",6,2
"229","起來",2,2
"230","高點",2,2
"231","唸碩",4,2
"232","唸機",2,2
"233","國唸",4,2
"234","國讀",2,2
"235","堂課",2,2
"236","從現",2,2
"237","推薦",3,2
"238","教材",2,2
"239","現在",2,2
"240","組的",3,2
"241","習班",2,2
"242","這樣",3,2
"243","部分",4,2
"244","就出",2,2
"245","筆記",2,2
"246","結組",3,2
"247","評價",2,2
"248","開始",2,2
"249","間學",2,2
"250","想請",2,2
"251","準備",5,2
"252","補習",2,2
"253","補過",2,2
"254","資工",3,2
"255","資結",4,2
"256","資管",5,2
"257","路上",2,2
"258","電子",6,2
"259","對於",2,2
"260","碩士",4,2
"261","管所",3,2
"262","網路",2,2
"263","劉承",2,2
"264","課各",2,2
"265","請問",4,2
"266","奮鬥",2,2
"267","學的",3,2
"268","學校",2,2
"269","學費",2,2
"270","機械",5,2
"271","選擇",2,2
"272","講義",5,2
"273","賺錢",2,2
"274","購買",3,2
"275","還有",2,2
"276","還是",6,2
"277","點教",2,2
"278","題庫",6,2
"279","體會",3,2
"280","灣奮",2,2
"281","上購買",2,3
"282","大資管",2,3
"283","不是都",2,3
"284","分是只",2,3
"285","父母賺",2,3
"286","出國唸",4,3
"287","出國讀",2,3
"288","台大資",2,3
"289","台灣奮",2,3
"290","母賺錢",2,3
"291","在台灣",7,3
"292","有補過",2,3
"293","你父母",2,3
"294","的辛苦",2,3
"295","的書籍",2,3
"296","的部分",2,3
"297","的講義",2,3
"298","是不是",2,3
"299","是只能",2,3
"300","研究所",4,3
"301","高點教",2,3
"302","唸碩士",4,3
"303","唸機械",2,3
"304","國唸碩",4,3
"305","從現在",2,3
"306","部分是",3,3
"307","就出國",2,3
"308","間學校",2,3
"309","想請問",2,3
"310","補習班",2,3
"311","資結組",3,3
"312","資管所",3,3
"313","路上購",2,3
"314","電子學",5,3
"315","管所的",2,3
"316","網路上",2,3
"317","課各種",2,3
"318","學校的",2,3
"319","題庫班",6,3
"320","灣奮鬥",2,3
"321","分是只能",2,4
"322","父母賺錢",2,4
"323","出國唸碩",4,4
"324","台大資管",2,4
"325","台灣奮鬥",2,4
"326","在台灣奮",2,4
"327","的部分是",2,4
"328","是不是都",2,4
