"","word","weight1","weight2","weight3","weight4","weight5","weight6","num1","num2","num3","num4","num5","num6","classnum"
"1","各位大大",0.00651487237643596,0,0,0,0,0,63,0,0,0,0,0,1
"2","請問各位",0.00455254036489238,0,0,0,0,0,44,0,0,0,0,0,1
"3","大家好",0.00362401031943686,0.00115108577585084,0,0,0,0,56,5,0,0,0,0,2
"4","不知道",0.00433450748698747,0,0,0.00057001178181133,0,0,67,0,0,8,0,0,2
"6","找教授",0.00394701888973302,0,0,0.000285041788115051,0,0,61,0,0,4,0,0,2
"9","推薦的",0.00393241389407582,0,0,0,0,0,38,0,0,0,0,0,1
"10","想請問",0.00684995374438137,0,0,0,0,0.00525013522834684,106,0,0,0,0,2,2
"12","學長姐",0.00304236240422332,0,0,0.000356291015853027,0,0,47,0,0,5,0,0,2
"13","一下",0.00510908678115588,0,0,0.00206492780395604,0,0,79,0,0,29,0,0,2
"19","已經",0.00220167604909708,0,0,0.000712469867052587,0,0,34,0,0,10,0,0,2
"23","中興",0.0048625238697535,0,0,0,0,0,47,0,0,0,0,0,1
"25","今年",0.0045927595108185,0,0,0.00121093195652229,0,0,71,0,0,17,0,0,2
"31","交大",0.00601209290405155,0,0,0.00192263991953392,0,0,93,0,0,27,0,0,2
"32","因為",0.00691437888527445,0,0,0.00348682331785027,0,0,107,0,0,49,0,0,2
"33","在職",0.0027837562061851,0,0,0.000213788073226035,0,0,43,0,0,3,0,0,2
"35","成大",0.00452820203104335,0,0,0.00113973653054837,0,0,70,0,0,16,0,0,2
"42","所的",0.00362401031943686,0,0,0.000356291015853027,0,0,56,0,0,5,0,0,2
"44","板上",0.00220167604909708,0,0,0.000498776012136212,0,0,34,0,0,7,0,0,2
"46","的話",0.00297771639606426,0,0,0.00163801045602239,0,0,46,0,0,23,0,0,2
"50","很多",0.00220167604909708,0,0,0.00199378609855383,0,0,34,0,0,28,0,0,2
"51","怎麼",0.00258976275933638,0,0,0.000997332236906464,0,0,40,0,0,14,0,0,2
