"","word","sum","wordnum","judge"
"1","出國唸碩士",4,5,TRUE
"2","在台灣奮鬥",2,5,TRUE
"3","部分是只能",2,5,TRUE
"4","網路上購買",2,5,TRUE
"5","父母賺錢",2,4,TRUE
"6","台大資管",2,4,TRUE
"7","的部分是",2,4,TRUE
"8","是不是都",2,4,TRUE
"9","間學校的",2,4,TRUE
"10","資管所的",2,4,TRUE
"11","出國讀",2,3,TRUE
"12","在台灣",5,3,TRUE
"13","有補過",2,3,TRUE
"14","你父母",2,3,TRUE
"15","的辛苦",2,3,TRUE
"16","的書籍",2,3,TRUE
"17","的講義",2,3,TRUE
"18","研究所",4,3,TRUE
"19","高點教",2,3,TRUE
"20","唸機械",2,3,TRUE
"21","從現在",2,3,TRUE
"22","就出國",2,3,TRUE
"23","想請問",2,3,TRUE
"24","補習班",2,3,TRUE
"25","資結組",3,3,TRUE
"26","電子學",5,3,TRUE
"27","課各種",2,3,TRUE
"28","題庫班",6,3,TRUE
"29","一個",2,2,TRUE
"30","一筆",2,2,TRUE
"31","了吧",2,2,TRUE
"32","上了",2,2,TRUE
"33","也是",2,2,TRUE
"34","大碩",2,2,TRUE
"35","小弟",5,2,TRUE
"36","工作",2,2,TRUE
"37","不知",2,2,TRUE
"38","不會",2,2,TRUE
"39","方向",2,2,TRUE
"40","比較",4,2,TRUE
"41","台大",3,2,TRUE
"42","正課",2,2,TRUE
"43","生活",2,2,TRUE
"44","目前",5,2,TRUE
"45","各種",4,2,TRUE
"46","好像",2,2,TRUE
"47","年的",2,2,TRUE
"48","有錢",2,2,TRUE
"49","老師",4,2,TRUE
"50","考的",2,2,TRUE
"51","考題",2,2,TRUE
"52","但還",2,2,TRUE
"53","努力",2,2,TRUE
"54","希望",2,2,TRUE
"55","沒有",3,2,TRUE
"56","辛苦",2,2,TRUE
"57","明年",2,2,TRUE
"58","朋友",2,2,TRUE
"59","的人",2,2,TRUE
"60","的考",2,2,TRUE
"61","前途",2,2,TRUE
"62","建議",2,2,TRUE
"63","後年",2,2,TRUE
"64","是有",2,2,TRUE
"65","是靠",2,2,TRUE
"66","洪逸",3,2,TRUE
"67","為了",2,2,TRUE
"68","要到",2,2,TRUE
"69","要補",2,2,TRUE
"70","真的",3,2,TRUE
"71","能夠",3,2,TRUE
"72","討論",6,2,TRUE
"73","起來",2,2,TRUE
"74","堂課",2,2,TRUE
"75","推薦",3,2,TRUE
"76","教材",2,2,TRUE
"77","組的",3,2,TRUE
"78","這樣",3,2,TRUE
"79","筆記",2,2,TRUE
"80","評價",2,2,TRUE
"81","開始",2,2,TRUE
"82","準備",5,2,TRUE
"83","資工",3,2,TRUE
"84","對於",2,2,TRUE
"85","劉承",2,2,TRUE
"86","請問",2,2,TRUE
"87","學的",3,2,TRUE
"88","學費",2,2,TRUE
"89","機械",3,2,TRUE
"90","選擇",2,2,TRUE
"91","講義",3,2,TRUE
"92","還有",2,2,TRUE
"93","還是",6,2,TRUE
"94","體會",3,2,TRUE
"95","工",2,1,TRUE
"96","中",5,1,TRUE
"97","分",2,1,TRUE
"98","文",2,1,TRUE
"99","月",3,1,TRUE
"100","世",2,1,TRUE
"101","付",2,1,TRUE
"102","出",3,1,TRUE
"103","四",2,1,TRUE
"104","先",3,1,TRUE
"105","名",2,1,TRUE
"106","考",6,1,TRUE
"107","位",4,1,TRUE
"108","低",2,1,TRUE
"109","完",2,1,TRUE
"110","沒",3,1,TRUE
"111","系",2,1,TRUE
"112","來",3,1,TRUE
"113","兩",3,1,TRUE
"114","於",2,1,TRUE
"115","果",3,1,TRUE
"116","法",2,1,TRUE
"117","爬",2,1,TRUE
"118","玩",3,1,TRUE
"119","直",2,1,TRUE
"120","社",2,1,TRUE
"121","金",2,1,TRUE
"122","便",2,1,TRUE
"123","後",5,1,TRUE
"124","為",3,1,TRUE
"125","相",2,1,TRUE
"126","科",3,1,TRUE
"127","計",4,1,TRUE
"128","家",2,1,TRUE
"129","時",2,1,TRUE
"130","書",2,1,TRUE
"131","留",2,1,TRUE
"132","真",2,1,TRUE
"133","祝",2,1,TRUE
"134","高",2,1,TRUE
"135","問",2,1,TRUE
"136","基",2,1,TRUE
"137","專",2,1,TRUE
"138","接",2,1,TRUE
"139","教",2,1,TRUE
"140","畢",2,1,TRUE
"141","這",5,1,TRUE
"142","博",2,1,TRUE
"143","報",3,1,TRUE
"144","幾",2,1,TRUE
"145","費",2,1,TRUE
"146","間",2,1,TRUE
"147","嗎",6,1,TRUE
"148","媽",2,1,TRUE
"149","想",5,1,TRUE
"150","會",3,1,TRUE
"151","業",2,1,TRUE
"152","概",3,1,TRUE
"153","該",2,1,TRUE
"154","資",3,1,TRUE
"155","過",2,1,TRUE
"156","種",3,1,TRUE
"157","算",2,1,TRUE
"158","說",3,1,TRUE
"159","廠",2,1,TRUE
"160","課",2,1,TRUE
"161","錢",4,1,TRUE
"162","薪",2,1,TRUE
"163","還",2,1,TRUE
"164","點",3,1,TRUE
"165","題",4,1,TRUE
"166","邊",2,1,TRUE
"167","聽",2,1,TRUE
