"","word","sum","wordnum"
"1","乙",17,1
"2","力",16,1
"3","三",20,1
"4","士",17,1
"5","子",18,1
"6","山",16,1
"7","工",72,1
"8","中",81,1
"9","什",16,1
"10","元",10,1
"11","內",14,1
"12","公",17,1
"13","分",49,1
"14","化",23,1
"15","友",29,1
"16","天",19,1
"17","太",18,1
"18","少",11,1
"19","心",29,1
"20","文",55,1
"21","方",36,1
"22","主",27,1
"23","代",34,1
"24","出",29,1
"25","加",14,1
"26","北",42,1
"27","台",71,1
"28","四",15,1
"29","外",22,1
"30","央",16,1
"31","未",15,1
"32","正",42,1
"33","生",123,1
"34","甲",14,1
"35","目",62,1
"36","立",15,1
"37","交",38,1
"38","企",11,1
"39","先",27,1
"40","光",16,1
"41","名",33,1
"42","回",19,1
"43","字",14,1
"44","年",83,1
"45","成",73,1
"46","收",13,1
"47","早",11,1
"48","次",11,1
"49","老",66,1
"50","考",96,1
"51","行",15,1
"52","西",10,1
"53","似",10,1
"54","位",125,1
"55","作",34,1
"56","別",18,1
"57","否",26,1
"58","吳",11,1
"59","完",11,1
"60","希",44,1
"61","弟",52,1
"62","找",71,1
"63","更",15,1
"64","材",10,1
"65","求",11,1
"66","沒",90,1
"67","究",57,1
"68","系",46,1
"69","見",17,1
"70","身",20,1
"71","並",18,1
"72","享",10,1
"73","來",76,1
"74","供",10,1
"75","兩",36,1
"76","取",126,1
"77","妹",21,1
"78","姊",11,1
"79","姐",18,1
"80","定",24,1
"81","幸",29,1
"82","念",19,1
"83","性",11,1
"84","放",28,1
"85","於",39,1
"86","明",38,1
"87","朋",18,1
"88","東",15,1
"89","板",15,1
"90","林",13,1
"91","果",41,1
"92","況",15,1
"93","法",23,1
"94","版",36,1
"95","物",13,1
"96","直",13,1
"97","知",64,1
"98","近",10,1
"99","金",14,1
"100","長",33,1
"101","非",28,1
"102","便",11,1
"103","信",21,1
"104","前",102,1
"105","室",25,1
"106","建",27,1
"107","後",46,1
"108","拜",11,1
"109","指",27,1
"110","政",23,1
"111","查",12,1
"112","流",13,1
"113","為",54,1
"114","相",30,1
"115","研",78,1
"116","科",93,1
"117","英",11,1
"118","計",24,1
"119","重",13,1
"120","限",11,1
"121","面",54,1
"122","風",19,1
"123","修",16,1
"124","個",89,1
"125","們",31,1
"126","剛",12,1
"127","原",19,1
"128","家",80,1
"129","差",12,1
"130","師",87,1
"131","料",16,1
"132","時",43,1
"133","書",13,1
"134","校",60,1
"135","格",20,1
"136","氣",16,1
"137","海",14,1
"138","特",14,1
"139","班",25,1
"140","益",107,1
"141","真",25,1
"142","祝",13,1
"143","站",10,1
"144","缺",12,1
"145","訊",15,1
"146","財",12,1
"147","高",11,1
"148","做",30,1
"149","動",14,1
"150","參",12,1
"151","唸",12,1
"152","商",10,1
"153","問",165,1
"154","國",15,1
"155","域",15,1
"156","基",12,1
"157","夠",11,1
"158","寄",11,1
"159","專",29,1
"160","常",21,1
"161","張",13,1
"162","授",169,1
"163","接",13,1
"164","推",54,1
"165","救",13,1
"166","教",189,1
"167","械",17,1
"168","棄",22,1
"169","清",25,1
"170","現",30,1
"171","理",55,1
"172","畢",35,1
"173","章",15,1
"174","細",12,1
"175","組",49,1
"176","統",10,1
"177","習",18,1
"178","設",13,1
"179","這",84,1
"180","通",15,1
"181","部",14,1
"182","陳",22,1
"183","備",136,1
"184","單",10,1
"185","報",35,1
"186","幾",29,1
"187","提",19,1
"188","無",13,1
"189","然",10,1
"190","發",33,1
"191","程",14,1
"192","答",10,1
"193","結",13,1
"194","給",34,1
"195","菌",12,1
"196","進",25,1
"197","量",14,1
"198","開",16,1
"199","間",41,1
"200","陽",18,1
