"","word","sum","wordnum","judge"
"1","各位大大",27,4,TRUE
"2","請問各位",18,4,TRUE
"3","大大們",14,3,TRUE
"4","大家好",20,3,TRUE
"5","不知道",30,3,TRUE
"6","有沒有",27,3,TRUE
"7","有興趣",21,3,TRUE
"8","位前輩",14,3,TRUE
"9","找教授",22,3,TRUE
"10","的教授",33,3,TRUE
"11","是不是",14,3,TRUE
"12","研究所",43,3,TRUE
"13","問一下",14,3,TRUE
"14","推薦的",22,3,TRUE
"15","教授的",14,3,TRUE
"16","想請問",52,3,TRUE
"17","想請教",17,3,TRUE
"18","資工所",16,3,TRUE
"19","實驗室",23,3,TRUE
"20","請問有",14,3,TRUE
"21","學長姐",22,3,TRUE
"22","謝大家",14,3,TRUE
"23","一下",26,2,TRUE
"24","一個",18,2,TRUE
"25","乙組",14,2,TRUE
"26","入學",22,2,TRUE
"27","上的",19,2,TRUE
"28","也有",16,2,TRUE
"29","大的",15,2,TRUE
"30","大概",19,2,TRUE
"31","大電",16,2,TRUE
"32","大學",50,2,TRUE
"33","小弟",60,2,TRUE
"34","工作",27,2,TRUE
"35","已經",19,2,TRUE
"36","不太",16,2,TRUE
"37","不會",21,2,TRUE
"38","不過",15,2,TRUE
"39","中山",25,2,TRUE
"40","中央",38,2,TRUE
"41","中興",14,2,TRUE
"42","什麼",25,2,TRUE
"43","今年",28,2,TRUE
"44","方向",21,2,TRUE
"45","方面",15,2,TRUE
"46","比較",62,2,TRUE
"47","以下",16,2,TRUE
"48","北科",17,2,TRUE
"49","可能",24,2,TRUE
"50","台大",40,2,TRUE
"51","台科",15,2,TRUE
"52","未來",21,2,TRUE
"53","正取",20,2,TRUE
"54","目前",87,2,TRUE
"55","交大",37,2,TRUE
"56","同學",18,2,TRUE
"57","因為",46,2,TRUE
"58","在職",22,2,TRUE
"59","好像",28,2,TRUE
"60","成大",32,2,TRUE
"61","成績",21,2,TRUE
"62","有人",16,2,TRUE
"63","有點",14,2,TRUE
"64","老師",69,2,TRUE
"65","考試",53,2,TRUE
"66","考慮",20,2,TRUE
"67","希望",46,2,TRUE
"68","沒有",41,2,TRUE
"69","系統",20,2,TRUE
"70","所的",22,2,TRUE
"71","朋友",20,2,TRUE
"72","板上",16,2,TRUE
"73","版上",22,2,TRUE
"74","的話",25,2,TRUE
"75","的學",31,2,TRUE
"76","知道",26,2,TRUE
"77","建議",20,2,TRUE
"78","很多",19,2,TRUE
"79","怎麼",21,2,TRUE
"80","政大",17,2,TRUE
"81","政治",18,2,TRUE
"82","是否",18,2,TRUE
"83","相關",34,2,TRUE
"84","研究",37,2,TRUE
"85","研所",16,2,TRUE
"86","科系",14,2,TRUE
"87","師大",15,2,TRUE
"88","時間",22,2,TRUE
"89","財金",18,2,TRUE
"90","問問",17,2,TRUE
"91","問題",37,2,TRUE
"92","專題",14,2,TRUE
"93","推甄",31,2,TRUE
"94","推薦",28,2,TRUE
"95","教授",107,2,TRUE
"96","現在",26,2,TRUE
"97","畢業",48,2,TRUE
"98","第一",17,2,TRUE
"99","統計",18,2,TRUE
"100","設計",18,2,TRUE
"101","這樣",29,2,TRUE
"102","通訊",15,2,TRUE
"103","部分",19,2,TRUE
"104","都是",17,2,TRUE
"105","備上",21,2,TRUE
"106","備取",30,2,TRUE
"107","報名",35,2,TRUE
"108","報考",20,2,TRUE
"109","開始",19,2,TRUE
"110","想要",14,2,TRUE
"111","想問",16,2,TRUE
"112","意見",23,2,TRUE
"113","感謝",24,2,TRUE
"114","會不",14,2,TRUE
"115","準備",31,2,TRUE
"116","經驗",21,2,TRUE
"117","資料",22,2,TRUE
"118","資訊",16,2,TRUE
"119","資源",15,2,TRUE
"120","資管",27,2,TRUE
"121","較推",14,2,TRUE
"122","電子",21,2,TRUE
"123","電機",18,2,TRUE
"124","碩士",15,2,TRUE
"125","管所",15,2,TRUE
"126","領域",16,2,TRUE
"127","課程",21,2,TRUE
"128","請益",144,2,TRUE
"129","請問",17,2,TRUE
"130","學生",15,2,TRUE
"131","學校",40,2,TRUE
"132","機械",14,2,TRUE
"133","機會",19,2,TRUE
"134","選擇",25,2,TRUE
"135","錄取",14,2,TRUE
"136","應該",25,2,TRUE
"137","謝謝",53,2,TRUE
"138","還是",47,2,TRUE
"139","雖然",16,2,TRUE
"140","｜",29,1,TRUE
"141","乙",14,1,TRUE
"142","二",19,1,TRUE
"143","力",29,1,TRUE
"144","三",27,1,TRUE
"145","工",51,1,TRUE
"146","中",78,1,TRUE
"147","內",27,1,TRUE
"148","公",24,1,TRUE
"149","分",47,1,TRUE
"150","化",22,1,TRUE
"151","友",14,1,TRUE
"152","天",21,1,TRUE
"153","太",21,1,TRUE
"154","少",23,1,TRUE
"155","心",30,1,TRUE
"156","文",67,1,TRUE
"157","方",21,1,TRUE
"158","日",30,1,TRUE
"159","月",27,1,TRUE
"160","主",15,1,TRUE
"161","代",42,1,TRUE
"162","出",30,1,TRUE
"163","北",16,1,TRUE
"164","古",14,1,TRUE
"165","台",32,1,TRUE
"166","四",32,1,TRUE
"167","外",31,1,TRUE
"168","未",15,1,TRUE
"169","正",41,1,TRUE
"170","生",62,1,TRUE
"171","甲",20,1,TRUE
"172","目",21,1,TRUE
"173","立",17,1,TRUE
"174","交",21,1,TRUE
"175","份",15,1,TRUE
"176","先",28,1,TRUE
"177","光",15,1,TRUE
"178","全",20,1,TRUE
"179","合",14,1,TRUE
"180","名",33,1,TRUE
"181","回",20,1,TRUE
"182","年",76,1,TRUE
"183","式",19,1,TRUE
"184","成",21,1,TRUE
"185","考",103,1,TRUE
"186","行",22,1,TRUE
"187","位",87,1,TRUE
"188","作",14,1,TRUE
"189","別",23,1,TRUE
"190","完",14,1,TRUE
"191","找",49,1,TRUE
"192","更",15,1,TRUE
"193","材",22,1,TRUE
"194","沒",47,1,TRUE
"195","系",57,1,TRUE
"196","身",20,1,TRUE
"197","來",51,1,TRUE
"198","兩",43,1,TRUE
"199","定",36,1,TRUE
"200","念",14,1,TRUE
"201","性",20,1,TRUE
"202","放",27,1,TRUE
"203","於",41,1,TRUE
"204","明",40,1,TRUE
"205","東",20,1,TRUE
"206","林",14,1,TRUE
"207","果",33,1,TRUE
"208","況",19,1,TRUE
"209","法",30,1,TRUE
"210","物",17,1,TRUE
"211","狀",14,1,TRUE
"212","直",15,1,TRUE
"213","社",16,1,TRUE
"214","表",19,1,TRUE
"215","近",21,1,TRUE
"216","非",19,1,TRUE
"217","信",33,1,TRUE
"218","前",29,1,TRUE
"219","後",56,1,TRUE
"220","指",17,1,TRUE
"221","為",26,1,TRUE
"222","科",66,1,TRUE
"223","英",15,1,TRUE
"224","計",22,1,TRUE
"225","重",15,1,TRUE
"226","面",36,1,TRUE
"227","風",16,1,TRUE
"228","修",40,1,TRUE
"229","個",91,1,TRUE
"230","們",29,1,TRUE
"231","原",16,1,TRUE
"232","家",58,1,TRUE
"233","差",19,1,TRUE
"234","師",16,1,TRUE
"235","時",44,1,TRUE
"236","書",40,1,TRUE
"237","校",19,1,TRUE
"238","格",16,1,TRUE
"239","氣",18,1,TRUE
"240","班",46,1,TRUE
"241","真",16,1,TRUE
"242","祝",14,1,TRUE
"243","站",15,1,TRUE
"244","高",45,1,TRUE
"245","做",44,1,TRUE
"246","動",16,1,TRUE
"247","問",29,1,TRUE
"248","國",47,1,TRUE
"249","夠",14,1,TRUE
"250","專",16,1,TRUE
"251","常",14,1,TRUE
"252","排",14,1,TRUE
"253","接",19,1,TRUE
"254","教",24,1,TRUE
"255","清",19,1,TRUE
"256","理",50,1,TRUE
"257","組",88,1,TRUE
"258","習",15,1,TRUE
"259","這",99,1,TRUE
"260","部",18,1,TRUE
"261","陳",19,1,TRUE
"262","備",18,1,TRUE
"263","單",26,1,TRUE
"264","報",30,1,TRUE
"265","幾",35,1,TRUE
"266","期",17,1,TRUE
"267","無",15,1,TRUE
"268","然",19,1,TRUE
"269","發",35,1,TRUE
"270","程",39,1,TRUE
"271","答",17,1,TRUE
"272","結",14,1,TRUE
"273","給",35,1,TRUE
"274","進",21,1,TRUE
"275","間",44,1,TRUE
"276","傳",16,1,TRUE
"277","嗎",79,1,TRUE
"278","想",100,1,TRUE
"279","感",27,1,TRUE
"280","會",78,1,TRUE
"281","業",29,1,TRUE
"282","準",15,1,TRUE
"283","當",18,1,TRUE
"284","補",17,1,TRUE
"285","裡",18,1,TRUE
"286","解",34,1,TRUE
"287","詢",16,1,TRUE
"288","試",36,1,TRUE
"289","該",30,1,TRUE
"290","資",27,1,TRUE
"291","路",24,1,TRUE
"292","過",61,1,TRUE
"293","電",22,1,TRUE
"294","實",26,1,TRUE
"295","對",49,1,TRUE
"296","榜",20,1,TRUE
"297","滿",20,1,TRUE
"298","碩",14,1,TRUE
"299","算",29,1,TRUE
"300","網",36,1,TRUE
"301","與",30,1,TRUE
"302","認",16,1,TRUE
"303","說",75,1,TRUE
"304","輔",14,1,TRUE
"305","際",15,1,TRUE
"306","麼",15,1,TRUE
"307","寫",27,1,TRUE
"308","數",25,1,TRUE
"309","確",15,1,TRUE
"310","線",19,1,TRUE
"311","課",35,1,TRUE
"312","請",36,1,TRUE
"313","論",32,1,TRUE
"314","學",118,1,TRUE
"315","導",14,1,TRUE
"316","機",27,1,TRUE
"317","辦",16,1,TRUE
"318","選",43,1,TRUE
"319","錯",14,1,TRUE
"320","幫",25,1,TRUE
"321","應",25,1,TRUE
"322","環",15,1,TRUE
"323","謝",40,1,TRUE
"324","還",50,1,TRUE
"325","點",41,1,TRUE
"326","簡",14,1,TRUE
"327","醫",19,1,TRUE
"328","題",45,1,TRUE
"329","藥",16,1,TRUE
"330","邊",16,1,TRUE
"331","關",32,1,TRUE
"332","類",19,1,TRUE
"333","覺",19,1,TRUE
"334","聽",14,1,TRUE
"335","讀",37,1,TRUE
"336","體",19,1,TRUE
