"","word","sum","wordnum"
"1","｜",18,1
"2","Ｄ",26,1
"3","Ｏ",11,1
"4","Ｑ",13,1
"5","Ｔ",11,1
"6","ㄏ",13,1
"7","乙",44,1
"8","丁",13,1
"9","七",52,1
"10","九",45,1
"11","二",340,1
"12","入",164,1
"13","八",53,1
"14","刁",12,1
"15","力",572,1
"16","十",140,1
"17","三",478,1
"18","久",60,1
"19","千",36,1
"20","口",286,1
"21","土",24,1
"22","士",29,1
"23","女",50,1
"24","子",200,1
"25","山",74,1
"26","川",12,1
"27","工",511,1
"28","中",797,1
"29","予",15,1
"30","互",39,1
"31","五",133,1
"32","什",329,1
"33","仁",15,1
"34","介",124,1
"35","元",53,1
"36","內",297,1
"37","公",174,1
"38","六",60,1
"39","分",1507,1
"40","切",43,1
"41","化",278,1
"42","升",51,1
"43","午",32,1
"44","友",230,1
"45","反",131,1
"46","天",437,1
"47","太",352,1
"48","夫",10,1
"49","少",248,1
"50","尤",65,1
"51","引",31,1
"52","心",943,1
"53","手",166,1
"54","扎",22,1
"55","支",47,1
"56","文",1074,1
"57","方",656,1
"58","日",147,1
"59","月",477,1
"60","木",18,1
"61","止",19,1
"62","水",55,1
"63","火",15,1
"64","片",57,1
"65","王",60,1
"66","世",33,1
"67","丙",18,1
"68","主",280,1
"69","乏",14,1
"70","仔",26,1
"71","付",23,1
"72","代",222,1
"73","令",12,1
"74","充",90,1
"75","冊",26,1
"76","出",753,1
"77","功",60,1
"78","加",365,1
"79","包",60,1
"80","北",115,1
"81","半",110,1
"82","占",32,1
"83","卡",43,1
"84","古",407,1
"85","句",50,1
"86","台",732,1
"87","史",144,1
"88","右",52,1
"89","司",30,1
"90","四",242,1
"91","外",373,1
"92","央",48,1
"93","失",52,1
"94","左",79,1
"95","巧",40,1
"96","市",31,1
"97","布",22,1
"98","平",128,1
"99","必",129,1
"100","未",138,1
"101","末",27,1
"102","正",499,1
"103","母",24,1
"104","民",107,1
"105","永",19,1
"106","玉",11,1
"107","生",570,1
"108","田",14,1
"109","甲",56,1
"110","申",66,1
"111","白",57,1
"112","皮",20,1
"113","目",795,1
"114","示",23,1
"115","立",118,1
"116","丟",12,1
"117","交",320,1
"118","件",55,1
"119","份",99,1
"120","企",119,1
"121","伍",12,1
"122","休",55,1
"123","先",310,1
"124","光",86,1
"125","全",292,1
"126","共",71,1
"127","刑",73,1
"128","列",76,1
"129","印",86,1
"130","吃",76,1
