"","word","sum","wordnum","judge"
"1","各位大大",16,4,TRUE
"2","有推薦的",10,4,TRUE
"3","有興趣的",13,4,TRUE
"4","請問各位",10,4,TRUE
"5","謝謝大家",11,4,TRUE
"6","大工科",12,3,TRUE
"7","大家好",10,3,TRUE
"8","不知道",17,3,TRUE
"9","比較好",10,3,TRUE
"10","目前有",13,3,TRUE
"11","有什麼",10,3,TRUE
"12","有沒有",26,3,TRUE
"13","有機會",27,3,TRUE
"14","位教授",14,3,TRUE
"15","希望能",10,3,TRUE
"16","找教授",29,3,TRUE
"17","的老師",14,3,TRUE
"18","的教授",28,3,TRUE
"19","的學校",11,3,TRUE
"20","研究所",10,3,TRUE
"21","站內信",13,3,TRUE
"22","問一下",12,3,TRUE
"23","教授的",10,3,TRUE
"24","組備取",11,3,TRUE
"25","想請問",36,3,TRUE
"26","想請教",10,3,TRUE
"27","實驗室",23,3,TRUE
"28","請問有",10,3,TRUE
"29","學長姐",22,3,TRUE
"30","謝各位",11,3,TRUE
"31","一下",12,2,TRUE
"32","一個",10,2,TRUE
"33","乙組",10,2,TRUE
"34","上的",12,2,TRUE
"35","也是",12,2,TRUE
"36","大大",13,2,TRUE
"37","大生",11,2,TRUE
"38","大的",14,2,TRUE
"39","大概",15,2,TRUE
"40","大電",23,2,TRUE
"41","大學",13,2,TRUE
"42","小弟",56,2,TRUE
"43","不好",10,2,TRUE
"44","不會",10,2,TRUE
"45","不過",17,2,TRUE
"46","中山",26,2,TRUE
"47","中央",38,2,TRUE
"48","中正",18,2,TRUE
"49","中興",11,2,TRUE
"50","今年",33,2,TRUE
"51","方面",10,2,TRUE
"52","比較",40,2,TRUE
"53","去年",12,2,TRUE
"54","可能",23,2,TRUE
"55","台大",62,2,TRUE
"56","台科",32,2,TRUE
"57","四大",11,2,TRUE
"58","正取",28,2,TRUE
"59","目前",36,2,TRUE
"60","交大",17,2,TRUE
"61","因為",18,2,TRUE
"62","好像",13,2,TRUE
"63","成大",38,2,TRUE
"64","成績",10,2,TRUE
"65","有人",18,2,TRUE
"66","有幸",13,2,TRUE
"67","有點",13,2,TRUE
"68","老師",47,2,TRUE
"69","希望",25,2,TRUE
"70","材料",15,2,TRUE
"71","沒有",24,2,TRUE
"72","往年",11,2,TRUE
"73","放棄",13,2,TRUE
"74","放榜",13,2,TRUE
"75","朋友",21,2,TRUE
"76","板上",13,2,TRUE
"77","版上",15,2,TRUE
"78","的話",10,2,TRUE
"79","的學",10,2,TRUE
"80","知道",19,2,TRUE
"81","建議",15,2,TRUE
"82","很好",12,2,TRUE
"83","是否",18,2,TRUE
"84","研究",11,2,TRUE
"85","真的",12,2,TRUE
"86","問題",11,2,TRUE
"87","推薦",18,2,TRUE
"88","教授",73,2,TRUE
"89","清大",35,2,TRUE
"90","現在",22,2,TRUE
"91","畢業",27,2,TRUE
"92","第一",14,2,TRUE
"93","這兩",15,2,TRUE
"94","這個",13,2,TRUE
"95","這樣",12,2,TRUE
"96","備上",18,2,TRUE
"97","備到",12,2,TRUE
"98","備取",75,2,TRUE
"99","報到",12,2,TRUE
"100","幾位",13,2,TRUE
"101","猶豫",11,2,TRUE
"102","想問",16,2,TRUE
"103","意見",15,2,TRUE
"104","感謝",21,2,TRUE
"105","會備",15,2,TRUE
"106","準時",10,2,TRUE
"107","詢問",10,2,TRUE
"108","資工",38,2,TRUE
"109","資訊",14,2,TRUE
"110","電子",16,2,TRUE
"111","電機",24,2,TRUE
"112","領域",16,2,TRUE
"113","請益",106,2,TRUE
"114","學校",13,2,TRUE
"115","機械",15,2,TRUE
"116","選擇",26,2,TRUE
"117","應該",15,2,TRUE
"118","謝謝",46,2,TRUE
"119","還有",12,2,TRUE
"120","還是",25,2,TRUE
"121","雖然",10,2,TRUE
"122","覺得",16,2,TRUE
"123","乙",17,1,TRUE
"124","丁",10,1,TRUE
"125","力",16,1,TRUE
"126","工",35,1,TRUE
"127","中",20,1,TRUE
"128","公",11,1,TRUE
"129","分",31,1,TRUE
"130","化",15,1,TRUE
"131","友",14,1,TRUE
"132","天",27,1,TRUE
"133","太",15,1,TRUE
"134","少",15,1,TRUE
"135","心",17,1,TRUE
"136","文",35,1,TRUE
"137","方",21,1,TRUE
"138","丙",18,1,TRUE
"139","主",12,1,TRUE
"140","代",24,1,TRUE
"141","出",21,1,TRUE
"142","台",18,1,TRUE
"143","外",17,1,TRUE
"144","正",23,1,TRUE
"145","生",37,1,TRUE
"146","甲",19,1,TRUE
"147","先",27,1,TRUE
"148","光",13,1,TRUE
"149","名",29,1,TRUE
"150","回",20,1,TRUE
"151","年",23,1,TRUE
"152","次",10,1,TRUE
"153","考",60,1,TRUE
"154","位",35,1,TRUE
"155","別",11,1,TRUE
"156","利",11,1,TRUE
"157","找",39,1,TRUE
"158","沒",23,1,TRUE
"159","系",23,1,TRUE
"160","身",10,1,TRUE
"161","來",36,1,TRUE
"162","供",11,1,TRUE
"163","兩",28,1,TRUE
"164","取",14,1,TRUE
"165","定",23,1,TRUE
"166","念",13,1,TRUE
