"","word","sum","wordnum"
"1","乙",15,1
"2","二",26,1
"3","入",11,1
"4","力",27,1
"5","三",43,1
"6","士",14,1
"7","子",36,1
"8","山",10,1
"9","工",124,1
"10","中",77,1
"11","什",32,1
"12","內",25,1
"13","公",23,1
"14","分",79,1
"15","化",39,1
"16","升",15,1
"17","友",38,1
"18","天",10,1
"19","太",39,1
"20","少",16,1
"21","心",33,1
"22","手",14,1
"23","文",60,1
"24","方",62,1
"25","月",18,1
"26","主",23,1
"27","代",40,1
"28","出",38,1
"29","加",24,1
"30","北",33,1
"31","半",13,1
"32","台",75,1
"33","四",30,1
"34","外",32,1
"35","央",15,1
"36","必",13,1
"37","未",24,1
"38","正",23,1
"39","生",84,1
"40","甲",16,1
"41","目",114,1
"42","立",22,1
"43","交",66,1
"44","企",12,1
"45","先",38,1
"46","全",12,1
"47","合",14,1
"48","名",34,1
"49","回",17,1
"50","年",71,1
"51","式",19,1
"52","成",57,1
"53","次",15,1
"54","老",75,1
"55","考",199,1
"56","行",25,1
"57","西",13,1
"58","似",14,1
"59","位",100,1
"60","作",52,1
"61","別",11,1
"62","助",16,1
"63","否",36,1
"64","完",13,1
"65","希",33,1
"66","弟",68,1
"67","找",58,1
"68","技",17,1
"69","改",12,1
"70","求",19,1
"71","沒",114,1
"72","私",10,1
"73","究",82,1
"74","系",90,1
"75","見",17,1
"76","走",11,1
"77","並",11,1
"78","事",14,1
"79","來",95,1
"80","供",12,1
"81","兩",35,1
"82","制",10,1
"83","取",51,1
"84","固",17,1
"85","姊",10,1
"86","始",10,1
"87","姐",13,1
"88","定",25,1
"89","延",11,1
"90","念",20,1
"91","怕",12,1
"92","性",22,1
"93","放",27,1
"94","於",39,1
"95","明",28,1
"96","朋",25,1
"97","東",17,1
"98","板",13,1
"99","析",16,1
"100","果",39,1
"101","況",22,1
"102","法",19,1
"103","爬",11,1
"104","版",27,1
"105","物",31,1
"106","狀",16,1
"107","直",14,1
"108","知",64,1
"109","近",32,1
"110","金",27,1
"111","長",36,1
"112","非",17,1
"113","便",10,1
"114","信",15,1
"115","前",123,1
"116","室",22,1
"117","度",16,1
"118","建",15,1
"119","後",53,1
"120","思",13,1
"121","指",27,1
"122","政",14,1
"123","查",13,1
"124","流",15,1
"125","為",94,1
"126","相",39,1
"127","研",132,1
"128","科",136,1
"129","英",25,1
"130","計",67,1
"131","重",25,1
"132","限",11,1
"133","面",45,1
"134","風",10,1
"135","修",57,1
"136","個",79,1
"137","們",19,1
"138","候",13,1
"139","剛",10,1
"140","原",33,1
"141","家",77,1
"142","容",14,1
