"","word","weight1","weight2","weight3","weight4","weight5","weight6","num1","num2","num3","num4","num5","num6","classnum"
"1","各位大大",0.0070123825381336,0,0,0,0,0,97,0,0,0,0,0,1
"2","請問各位",0.00405170301891416,0,0,0,0,0,56,0,0,0,0,0,1
"3","大家好",0.00380045054292369,0.00115108577585084,0,0,0,0,84,5,0,0,0,0,2
"4","不知道",0.00510955202092127,0,0,0.00057001178181133,0,0,113,0,0,8,0,0,2
"6","找教授",0.00542531522614623,0,0,0.000285041788115051,0,0,120,0,0,4,0,0,2
"9","想請問",0.00749814108587348,0,0,0,0,0.00525013522834684,166,0,0,0,0,2,2
"11","學長姐",0.00389078204887931,0,0,0.000356291015853027,0,0,86,0,0,5,0,0,2
"12","一下",0.00470344122215983,0,0,0.00206492780395604,0,0,104,0,0,29,0,0,2
"14","大的",0.00276111952368303,0,0,0.000712469867052587,0,0,61,0,0,10,0,0,2
"15","大電",0.00397943073133285,0,0,0,0,0,55,0,0,0,0,0,1
"20","不過",0.00267069777646287,0,0,0.00106853662419774,0,0,59,0,0,15,0,0,2
"23","中興",0.00527989016974848,0,0,0,0,0,73,0,0,0,0,0,1
"25","今年",0.0059213365659257,0,0,0.00121093195652229,0,0,131,0,0,17,0,0,2
"29","台科",0.00348423346472635,0,0,0.000213788073226035,0,0,77,0,0,3,0,0,2
"32","交大",0.00560571178434561,0,0,0.00192263991953392,0,0,124,0,0,27,0,0,2
"33","因為",0.00704784970386875,0,0,0.00348682331785027,0,0,156,0,0,49,0,0,2
"35","成大",0.00731804603809936,0,0,0.00113973653054837,0,0,162,0,0,16,0,0,2
"42","所的",0.00267069777646287,0,0,0.000356291015853027,0,0,59,0,0,5,0,0,2
"45","的話",0.00262548419276593,0,0,0.00163801045602239,0,0,58,0,0,23,0,0,2
"49","是否",0.00343905238085995,0,0,0.000498776012136212,0,0,76,0,0,7,0,0,2
"53","問題",0.00524488990000672,0,0,0.00121093195652229,0,0,116,0,0,17,0,0,2
"54","推甄",0.00307753874228762,0,0,0.00156684190047187,0,0,68,0,0,22,0,0,2
"58","畢業",0.00659737903718711,0,0,0.00121093195652229,0,0,146,0,0,17,0,0,2
"60","備上",0.00357459022007471,0,0,0.000427535757005078,0,0,79,0,0,6,0,0,2
"61","備取",0.0122154120689888,0,0,0.000854910017245675,0,0,271,0,0,12,0,0,2
"62","想問",0.00325831000074929,0,0,0.000213788073226035,0,0,72,0,0,3,0,0,2
"63","感謝",0.00492907632880306,0,0,0.000641243066595225,0,0,109,0,0,9,0,0,2
"68","電機",0.0040262657865712,0.00253084461940018,0,0,0,0,89,11,0,0,0,0,2
"70","請益",0.0420967503615601,0,0,0,0,0,588,0,0,0,0,0,1
"71","請問",0.00307753874228762,0,0,0,0,0.00525013522834684,68,0,0,0,0,2,2
"75","應該",0.00361976589184458,0,0,0.00113973653054837,0,0,80,0,0,16,0,0,2
"78","乙",0.00384561719741366,0.00115108577585084,0,0,0,0,85,5,0,0,0,0,2
"88","太",0.00380045054292369,0,0,0.00163801045602239,0,0,84,0,0,23,0,0,2
"92","方",0.00528999892903768,0.00207111193875876,0,0,0,0,117,9,0,0,0,0,2
"100","甲",0.00506321186726876,0,0,0,0,0,70,0,0,0,0,0,1
"103","回",0.00384561719741366,0,0,0.000712469867052587,0,0,85,0,0,10,0,0,2
"115","念",0.00253505160447623,0,0,0.00106853662419774,0,0,56,0,0,15,0,0,2
"125","指",0.00262548419276593,0,0,0.000285041788115051,0,0,58,0,0,4,0,0,2
"132","們",0.0064171405388185,0.00115108577585084,0,0,0,0,142,5,0,0,0,0,2
"133","原",0.00253505160447623,0.00115108577585084,0,0,0,0,56,5,0,0,0,0,2
"135","差",0.00321311989383976,0,0,0.000427535757005078,0,0,71,0,0,6,0,0,2
"140","班",0.00596641863361028,0,0,0.000285041788115051,0,0,132,0,0,4,0,0,2
"142","做",0.00614672894300662,0,0,0.000783692183747745,0,0,136,0,0,11,0,0,2
"149","部",0.00271590955338711,0.00344974993812871,0,0,0,0,60,15,0,0,0,0,2
"151","備",0.00425203596900802,0,0,0.00106853662419774,0,0,94,0,0,15,0,0,2
"167","解",0.00456803855581785,0,0,0,0.0114864145110319,0,101,0,0,0,2,0,2
"168","試",0.00650724370378293,0,0,0,0,0,90,0,0,0,0,0,1
"171","路",0.00253505160447623,0,0,0.000498776012136212,0,0,56,0,0,7,0,0,2
"179","網",0.00470344122215983,0,0,0.000427535757005078,0,0,104,0,0,6,0,0,2
"182","麼",0.00244461178736227,0,0.00397681292213179,0,0,0,54,0,2,0,0,0,2
"183","寫",0.00262548419276593,0,0,0.00199378609855383,0,0,58,0,0,28,0,0,2
"185","確",0.00248983259959436,0,0,0.000712469867052587,0,0,55,0,0,10,0,0,2
"190","導",0.00262548419276593,0,0,0.000427535757005078,0,0,58,0,0,6,0,0,2
"193","幫",0.00895945444254122,0,0,0,0,0,124,0,0,0,0,0,1
"198","醫",0.00276111952368303,0.00230100162998795,0,0,0,0,61,10,0,0,0,0,2
"200","關",0.00434233142887159,0,0,0.000997332236906464,0,0,96,0,0,14,0,0,2
"201","類",0.00258026880215185,0,0,0.000356291015853027,0,0,57,0,0,5,0,0,2
"204","謝謝大家",0.0041239724180876,0,0,0,0,0,57,0,0,0,0,0,1
"205","清大",0.0042971845997325,0,0,0.000427535757005078,0,0,95,0,0,6,0,0,2
"206","資工",0.00510955202092127,0,0,0,0,0.00786609503303977,113,0,0,0,0,3,2
"212","考試入學招生簡章",0,0.00220747385034897,0,0,0,0,0,6,0,0,0,0,1
"213","系碩士班考試入學",0,0.0018397486287099,0,0,0,0,0,5,0,0,0,0,1
"214","國立暨南國際大學",0,0.0018397486287099,0,0,0,0,0,5,0,0,0,0,1
"215","碩士班考試入學",0,0.0018397486287099,0,0,0,0,0,5,0,0,0,0,1
"216","招生考試資訊",0,0.0018397486287099,0,0,0,0,0,5,0,0,0,0,1
"217","學年度碩士班",0,0.00331020105466918,0,0,0,0,0,9,0,0,0,0,1
"218","考試入學報",0,0.0018397486287099,0,0,0,0,0,5,0,0,0,0,1
"219","碩士班考試",0,0.0018397486287099,0,0,0,0,0,5,0,0,0,0,1
"220","碩士班招生",0,0.00551364012240805,0,0,0,0,0,15,0,0,0,0,1
"221","管理研究所",0,0.00294270003294324,0,0,0,0,0,8,0,0,0,0,1
"222","管理碩士班",0,0.0018397486287099,0,0,0,0,0,5,0,0,0,0,1
"223","學系碩士班",0,0.0025751243082954,0,0,0,0,0,7,0,0,0,0,1
"224","入學報名",0,0.0018397486287099,0,0,0,0,0,5,0,0,0,0,1
"225","工程學系",0,0.00294270003294324,0,0,0,0,0,8,0,0,0,0,1
"226","中正大學",0,0.00331020105466918,0,0,0,0,0,9,0,0,0,0,1
"227","企業管理",0,0.00367762740383142,0,0,0,0,0,10,0,0,0,0,1
"228","在職專班",0,0.00220747385034897,0,0,0,0,0,6,0,0,0,0,1
"229","考試日期",0,0.0025751243082954,0,0,0,0,0,7,0,0,0,0,1
"230","考試科目",0,0.0018397486287099,0,0,0,0,0,5,0,0,0,0,1
"231","考試時間",0,0.00220747385034897,0,0,0,0,0,6,0,0,0,0,1
"232","系所畢業",0,0.0025751243082954,0,0,0,0,0,7,0,0,0,0,1
"233","招生名額",0,0.00331020105466918,0,0,0,0,0,9,0,0,0,0,1
"234","招生報名",0,0.0018397486287099,0,0,0,0,0,5,0,0,0,0,1
"235","招生資訊",0,0.0018397486287099,0,0,0,0,0,5,0,0,0,0,1
"236","招生簡章",0,0.0018397486287099,0,0,0,0,0,5,0,0,0,0,1
"237","師範大學",0,0.0018397486287099,0,0,0,0,0,5,0,0,0,0,1
"238","畢業學生",0,0.0018397486287099,0,0,0,0,0,5,0,0,0,0,1
"239","通訊工程",0,0.0018397486287099,0,0,0,0,0,5,0,0,0,0,1
"240","報名人數",0,0.00294270003294324,0,0,0,0,0,8,0,0,0,0,1
"241","報名日期",0,0.00294270003294324,0,0,0,0,0,8,0,0,0,0,1
"242","報名時間",0,0.00220747385034897,0,0,0,0,0,6,0,0,0,0,1
"243","報名網址",0,0.00441225620580142,0,0,0,0,0,12,0,0,0,0,1
"244","筆試科目",0,0.0018397486287099,0,0,0,0,0,5,0,0,0,0,1
