"","word","sum","wordnum"
"1","乙",23,1
"2","丁",12,1
"3","二",12,1
"4","力",11,1
"5","三",21,1
"6","子",12,1
"7","山",19,1
"8","工",75,1
"9","中",102,1
"10","什",22,1
"11","元",11,1
"12","內",16,1
"13","分",35,1
"14","化",23,1
"15","友",41,1
"16","天",14,1
"17","太",21,1
"18","少",18,1
"19","心",14,1
"20","文",43,1
"21","方",44,1
"22","日",11,1
"23","水",10,1
"24","代",28,1
"25","出",14,1
"26","北",54,1
"27","台",81,1
"28","四",14,1
"29","外",19,1
"30","央",36,1
"31","未",15,1
"32","正",50,1
"33","生",59,1
"34","甲",14,1
"35","目",50,1
"36","立",15,1
"37","交",60,1
"38","企",13,1
"39","先",25,1
"40","光",18,1
"41","合",17,1
"42","名",28,1
"43","回",16,1
"44","年",77,1
"45","成",51,1
"46","次",13,1
"47","老",49,1
"48","考",66,1
"49","位",136,1
"50","作",15,1
"51","別",11,1
"52","利",15,1
"53","否",19,1
"54","完",13,1
"55","希",34,1
"56","弟",56,1
"57","找",62,1
"58","技",13,1
"59","材",14,1
"60","沒",76,1
"61","究",28,1
"62","系",49,1
"63","見",18,1
"64","走",14,1
"65","身",15,1
"66","事",10,1
"67","享",10,1
"68","來",41,1
"69","供",11,1
"70","兩",57,1
"71","函",10,1
"72","取",103,1
"73","妹",11,1
"74","姐",28,1
"75","定",16,1
"76","幸",28,1
"77","念",13,1
"78","放",32,1
"79","於",28,1
"80","明",12,1
"81","朋",33,1
"82","東",20,1
"83","板",10,1
"84","析",11,1
"85","林",11,1
"86","果",27,1
"87","況",18,1
"88","法",16,1
"89","爬",15,1
"90","版",30,1
"91","物",14,1
"92","狀",12,1
"93","知",59,1
"94","近",14,1
"95","金",26,1
"96","長",37,1
"97","非",15,1
"98","便",13,1
"99","信",14,1
"100","前",77,1
"101","南",15,1
"102","室",26,1
"103","建",20,1
"104","後",43,1
"105","指",17,1
"106","政",11,1
"107","查",12,1
"108","流",11,1
"109","為",58,1
"110","相",31,1
"111","研",47,1
"112","科",96,1
"113","英",14,1
"114","計",12,1
"115","重",11,1
"116","面",35,1
"117","風",23,1
"118","個",51,1
"119","們",41,1
"120","候",11,1
"121","剛",12,1
"122","家",74,1
"123","差",12,1
"124","師",69,1
"125","料",24,1
"126","時",40,1
"127","書",11,1
"128","校",40,1
"129","氣",20,1
"130","海",15,1
"131","班",29,1
"132","益",117,1
"133","真",14,1
"134","站",11,1
"135","訊",25,1
"136","財",20,1
"137","高",20,1
"138","做",19,1
"139","問",140,1
"140","國",16,1
"141","域",12,1
"142","專",26,1
"143","常",14,1
"144","情",14,1
"145","授",175,1
"146","接",13,1
"147","推",58,1
"148","教",191,1
"149","械",23,1
"150","清",33,1
"151","現",12,1
"152","理",19,1
"153","產",10,1
"154","畢",44,1
"155","組",60,1
"156","統",18,1
"157","設",16,1
"158","這",83,1
"159","部",18,1
"160","陳",23,1
"161","備",119,1
"162","報",36,1
"163","幾",29,1
"164","提",15,1
"165","無",11,1
"166","然",23,1
"167","發",21,1
"168","程",11,1
"169","給",27,1
"170","進",14,1
"171","間",35,1
"172","順",15,1
"173","黃",11,1
"174","嗎",53,1
"175","想",132,1
"176","意",37,1
"177","感",62,1
"178","會",99,1
"179","業",56,1
"180","概",10,1
"181","源",19,1
"182","準",17,1
"183","當",19,1
"184","經",42,1
"185","號",10,1
"186","解",11,1
"187","試",21,1
"188","話",11,1
"189","該",19,1
"190","資",87,1
"191","路",18,1
"192","較",70,1
"193","過",32,1
"194","道",51,1
"195","電",60,1
"196","實",43,1
"197","對",32,1
"198","榜",36,1
"199","滿",11,1
"200","網",26,1
"201","與",29,1
"202","說",37,1
"203","需",11,1
"204","領",12,1
"205","麼",36,1
"206","數",12,1
"207","樣",14,1
"208","請",219,1
"209","趣",26,1
"210","輩",12,1
"211","學",163,1
"212","導",17,1
"213","擇",38,1
"214","機",84,1
"215","歷",10,1
"216","興",38,1
"217","選",55,1
"218","錄",11,1
