"","V1","V2","V3"
"temp1","svm","1","4163"
"temp","svm","2","4163"
"temp","svm","3","4170"
"temp","svm","4","4128"
"temp","svm","5","4127"
"temp","svm","6","4130"
"temp","svm","7","4079"
"temp","svm","8","4084"
"temp","svm","9","4084"
"temp","svm","10","4081"
"temp","svm","11","3220"
"temp","svm","12","3219"
"temp","svm","13","3214"
"temp","svm","14","3275"
"temp","svm","15","3279"
"temp","svm","16","3271"
"temp","svm","17","3183"
"temp","svm","18","3178"
"temp","svm","19","3176"
"temp","svm","20","3174"
"temp","svm","21","3129"
"temp","svm","22","3130"
"temp","svm","23","3127"
"temp","svm","24","3134"
"temp","svm","25","3139"
"temp","svm","26","3138"
"temp","svm","27","2822"
"temp","svm","28","2821"
"temp","svm","29","2820"
"temp","svm","30","2820"
"temp2","knn","1","4163"
"temp","knn","2","4163"
"temp","knn","3","4170"
"temp","knn","4","4128"
"temp","knn","5","4127"
"temp","knn","6","4130"
"temp","knn","7","4079"
"temp","knn","8","4084"
"temp","knn","9","4084"
"temp","knn","10","4081"
"temp","knn","11","3220"
"temp","knn","12","3219"
"temp","knn","13","3214"
"temp","knn","14","3275"
"temp","knn","15","3279"
"temp","knn","16","3271"
"temp","knn","17","3183"
"temp","knn","18","3178"
"temp","knn","19","3176"
"temp","knn","20","3174"
"temp","knn","21","3129"
"temp","knn","22","3130"
"temp","knn","23","3127"
"temp","knn","24","3134"
"temp","knn","25","3139"
"temp","knn","26","3138"
"temp","knn","27","2822"
"temp","knn","28","2821"
"temp","knn","29","2820"
"temp","knn","30","2820"
