"","word","sum","wordnum"
"1","｜",32,1
"2","┌",13,1
"3","┐",12,1
"4","└",13,1
"5","┘",10,1
"6","├",23,1
"7","┤",11,1
"8","┬",13,1
"9","Ｄ",13,1
"10","ｏ",11,1
"11","Ｑ",23,1
"12","乙",24,1
"13","七",68,1
"14","九",53,1
"15","二",326,1
"16","入",140,1
"17","八",63,1
"18","力",422,1
"19","十",146,1
"20","三",430,1
"21","久",48,1
"22","千",34,1
"23","口",178,1
"24","土",51,1
"25","士",40,1
"26","女",33,1
"27","子",166,1
"28","山",63,1
"29","工",412,1
"30","中",767,1
"31","予",11,1
"32","互",41,1
"33","五",128,1
"34","什",390,1
"35","仁",14,1
"36","介",183,1
"37","元",82,1
"38","內",350,1
"39","公",137,1
"40","六",92,1
"41","分",1385,1
"42","切",47,1
"43","勾",10,1
"44","化",145,1
"45","升",29,1
"46","午",29,1
"47","友",198,1
"48","反",109,1
"49","天",407,1
"50","太",344,1
"51","夫",11,1
"52","少",247,1
"53","尤",55,1
"54","引",32,1
"55","心",929,1
"56","手",135,1
"57","扎",16,1
"58","支",40,1
"59","文",818,1
"60","方",602,1
"61","日",66,1
"62","月",484,1
"63","木",14,1
"64","止",16,1
"65","水",46,1
"66","火",10,1
"67","片",61,1
"68","王",30,1
"69","世",20,1
"70","丙",13,1
"71","主",307,1
"72","仔",18,1
"73","付",20,1
"74","代",192,1
"75","充",73,1
"76","冊",27,1
"77","出",588,1
"78","刊",32,1
"79","功",60,1
"80","加",312,1
"81","包",59,1
"82","北",133,1
"83","半",117,1
"84","卡",26,1
"85","古",355,1
"86","句",49,1
"87","台",454,1
"88","史",61,1
"89","右",60,1
"90","司",46,1
"91","四",240,1
"92","外",357,1
"93","央",85,1
"94","失",66,1
"95","左",59,1
"96","巧",34,1
"97","市",30,1
"98","布",14,1
"99","平",115,1
"100","必",121,1
"101","未",147,1
"102","末",17,1
"103","正",459,1
"104","母",22,1
"105","民",35,1
"106","永",19,1
"107","生",521,1
"108","甲",37,1
"109","申",100,1
"110","白",51,1
"111","皮",18,1
"112","目",818,1
"113","石",10,1
"114","示",18,1
"115","立",117,1
"116","丟",12,1
"117","交",255,1
"118","仲",17,1
"119","件",55,1
"120","份",103,1
"121","企",73,1
"122","休",41,1
"123","先",293,1
"124","光",65,1
"125","全",274,1
"126","共",63,1
"127","列",54,1
"128","印",96,1
"129","吃",68,1
"130","合",138,1
"131","名",254,1
"132","回",316,1
"133","字",172,1
"134","存",14,1
"135","宇",17,1
"136","安",83,1
"137","年",667,1
"138","式",321,1
"139","忙",53,1
"140","成",700,1
"141","扣",16,1
"142","收",74,1
"143","早",132,1
"144","次",386,1
"145","死",34,1
"146","百",24,1
"147","老",792,1
"148","考",2581,1
"149","色",66,1
"150","血",10,1
"151","行",147,1
"152","西",162,1
"153","估",26,1
"154","伴",28,1
"155","伸",18,1
"156","似",53,1
"157","位",232,1
"158","低",120,1
"159","住",71,1
"160","佔",15,1
"161","作",496,1
"162","克",12,1
"163","免",27,1
"164","兵",21,1
"165","冷",38,1
"166","判",15,1
"167","別",219,1
"168","利",103,1
"169","助",231,1
"170","努",64,1
"171","否",68,1
"172","含",37,1
"173","吸",22,1
"174","呈",21,1
"175","告",79,1
"176","困",39,1
"177","均",26,1
"178","坐",34,1
"179","完",638,1
"180","尾",25,1
"181","希",129,1
"182","床",23,1
"183","序",58,1
"184","弄",34,1
"185","弟",82,1
"186","形",48,1
"187","役",23,1
"188","志",40,1
"189","忘",71,1
"190","快",133,1
"191","批",15,1
"192","找",251,1
"193","技",91,1
"194","抄",40,1
"195","抓",55,1
"196","投",42,1
"197","折",27,1
"198","改",85,1
"199","攻",31,1
"200","更",219,1
"201","李",14,1
"202","材",84,1
"203","束",54,1
"204","步",74,1
"205","求",63,1
"206","決",139,1
"207","沒",967,1
"208","狂",28,1
"209","男",22,1
"210","私",56,1
"211","究",545,1
"212","系",423,1
"213","育",48,1
"214","良",31,1
"215","見",136,1
"216","角",39,1
"217","言",220,1
"218","走",113,1
"219","足",68,1
"220","身",112,1
"221","車",40,1
"222","辛",33,1
"223","邦",12,1
"224","並",238,1
"225","乖",16,1
"226","事",288,1
"227","享",154,1
"228","佳",22,1
"229","來",1105,1
"230","例",120,1
"231","供",54,1
"232","兒",13,1
"233","兩",389,1
"234","具",43,1
"235","典",39,1
"236","函",29,1
"237","初",127,1
"238","制",48,1
"239","刷",18,1
"240","刺",24,1
"241","刻",42,1
