"","word","weight1","weight2","weight3","weight4","weight5","weight6","num1","num2","num3","num4","num5","num6","classnum"
"1","各位大大",0.00632562842357475,0,0,0,0,0,147,0,0,0,0,0,1
"2","大家好",0.00593898031166131,0,0,0,0,0,138,0,0,0,0,0,1
"4","有沒有",0.00473694751054587,0,0,0.000475142263569447,0,0,176,0,0,86,0,0,2
"5","找教授",0.0051397489548378,0,0,0.000198921043571726,0,0,191,0,0,36,0,0,2
"6","的教授",0.00522029203792463,0,0,0.000198921043571726,0,0,194,0,0,36,0,0,2
"8","教授的",0.00245169325587067,0,0,0.000331515645313246,0,0,91,0,0,60,0,0,2
"9","想請問",0.0075535507483029,0,0,0,0,0.00525013522834684,281,0,0,0,0,2,2
"11","學長姐",0.00336634893472929,0,0,0.000337040083173143,0,0,125,0,0,61,0,0,2
"14","上的",0.00395779118302731,0,0,0.00117092078910852,0,0,147,0,0,212,0,0,2
"20","中山",0.00374275704544358,0,0,0.000552472122024272,0,0,139,0,0,100,0,0,2
"22","中興",0.00296291551734984,0,0,0.000386758810081303,0,0,110,0,0,70,0,0,2
"25","方面",0.00258624782717649,0,0,0.000535901883007891,0,0,96,0,0,97,0,0,2
"27","可能",0.003312566123344,0,0,0.00116540042145151,0,0,123,0,0,211,0,0,2
"29","台科",0.00333945784861697,0,0,0.00041437938098558,0,0,124,0,0,75,0,0,2
"34","在職",0.00378942847851718,0,0,0,0,0,88,0,0,0,0,0,1
"37","有點",0.00255933819306152,0,0,0.00123164305568403,0,0,95,0,0,223,0,0,2
"42","所的",0.00258624782717649,0,0,0.000325991180478357,0,0,96,0,0,59,0,0,2
"44","版上",0.00336634893472929,0,0,0.000502760676906083,0,0,125,0,0,91,0,0,2
"45","的話",0.00242478042123783,0,0,0.00154624261405634,0,0,90,0,0,280,0,0,2
"49","是否",0.00374275704544358,0,0,0.000381234614984478,0,0,139,0,0,69,0,0,2
"54","推甄",0.00247860545033902,0,0,0.000950085070728585,0,0,92,0,0,172,0,0,2
"60","備上",0.00368899212460336,0,0,0.00024312097077661,0,0,137,0,0,44,0,0,2
"62","想問",0.00490751431795881,0,0,0,0,0,114,0,0,0,0,0,1
"63","意見",0.00226328996828165,0,0,0.000209971187255505,0,0,84,0,0,38,0,0,2
"64","感謝",0.00508605038051444,0,0,0.001066029197441,0,0,189,0,0,193,0,0,2
"68","電機",0.0040921667680032,0,0,0.000254170682780426,0,0,152,0,0,46,0,0,2
"70","請益",0.0390187453034713,0,0,0,0,0,915,0,0,0,0,0,1
"71","請問",0.00395779118302731,0,0,0,0,0.00525013522834684,147,0,0,0,0,2,2
"78","乙",0.00315120234763153,0,0,0.000270745048446708,0,0,117,0,0,49,0,0,2
"87","友",0.00231712268045284,0,0,0.000270745048446708,0,0,86,0,0,49,0,0,2
"93","方",0.00465637001019796,0.00444693768237704,0,0,0,0,173,39,0,0,0,0,2
"117","身",0.00288221156832982,0,0,0.000823085011715991,0,0,107,0,0,149,0,0,2
"121","念",0.00328567375888026,0,0,0.000690548010277005,0,0,122,0,0,125,0,0,2
"127","物",0.00226328996828165,0,0,0.000640842631687966,0,0,84,0,0,116,0,0,2
"137","修",0.00352768203073052,0,0,0.00115435960533145,0,0,131,0,0,209,0,0,2
"140","原",0.00247860545033902,0,0,0.000596658239651373,0,0,92,0,0,108,0,0,2
"176","補",0.00261315682127924,0,0,0.000823085011715991,0,0,97,0,0,149,0,0,2
"181","路",0.00280150186221253,0,0,0.000320466688668212,0,0,104,0,0,58,0,0,2
"189","網",0.00428026577876659,0,0,0.000325991180478357,0,0,159,0,0,59,0,0,2
"192","麼",0.00258624782717649,0.00216864027237479,0,0,0,0,96,19,0,0,0,0,2
"199","導",0.00237095283135716,0,0,0.000502760676906083,0,0,88,0,0,91,0,0,2
"201","選",0.00344701835840598,0,0,0.000861738712729563,0,0,128,0,0,156,0,0,2
"210","類",0.00285530897267534,0,0,0.000331515645313246,0,0,106,0,0,60,0,0,2
"211","讀",0.00586443037048864,0,0,0.00140275191164658,0,0,218,0,0,254,0,0,2
"212","謝謝大家",0.00387545962992857,0,0,0,0,0,90,0,0,0,0,0,1
"213","前輩",0.00229020664454074,0,0,0.000254170682780426,0,0,85,0,0,46,0,0,2
"220","推",0.00234403807604816,0,0,0.000994255662891615,0,0,87,0,0,180,0,0,2
"225","大大",0.00264006517539995,0,0,0.000276269783046005,0,0,98,0,0,50,0,0,2
"226","有幸",0.00426254916821065,0,0,0,0,0,99,0,0,0,0,0,1
"229","碩士班招生",0,0.0027369291908356,0,0,0,0,0,15,0,0,0,0,1
"230","網路報名",0,0.00328381828352053,0,0,0,0,0,18,0,0,0,0,1
"231","有興趣",0,0.00205460488332584,0,0.000314942169882549,0,0,0,18,0,57,0,0,2
"232","的同學",0,0.00251067749314588,0,0.000673979793377778,0,0,0,22,0,122,0,0,2
"233","的研究",0,0.0029665663323921,0,0.000453047047474876,0,0,0,26,0,82,0,0,2
"234","祝大家",0,0.00228266416881711,0.00293553144960226,0,0,0,0,20,12,0,0,0,2
"235","管理學",0,0.0027369291908356,0,0,0,0,0,15,0,0,0,0,1
"236","學年度",0,0.00419493271362811,0,0,0,0,0,23,0,0,0,0,1
"238","入學",0,0.00401274654943395,0,0,0,0,0,22,0,0,0,0,1
"239","下午",0,0.00216864027237479,0,0.000187870791962686,0,0,0,19,0,34,0,0,2
"240","口試",0,0.00387779329113529,0,0.00131444089477698,0,0,0,34,0,238,0,0,2
"241","加入",0,0.00383054202802637,0,0,0,0,0,21,0,0,0,0,1
"242","台灣",0,0.00171242973736635,0,0.000856216836293211,0,0,0,15,0,155,0,0,2
"243","本系",0,0.00346607789877129,0,0,0,0,0,19,0,0,0,0,1
"244","本校",0,0.00383054202802637,0,0,0,0,0,21,0,0,0,0,1
"245","企業",0,0.00194055799935333,0,0.000204446128904141,0,0,0,17,0,37,0,0,2
"246","合作",0,0.00328381828352053,0,0,0,0,0,18,0,0,0,0,1
"247","同學",0,0.00308050984540359,0,0.00093904215323803,0,0,0,27,0,170,0,0,2
"248","地點",0,0.00328381828352053,0,0,0,0,0,18,0,0,0,0,1
"249","成績",0,0.00410548540530485,0,0.00164557167164812,0,0,0,36,0,298,0,0,2
"250","我們",0,0.00626627815319333,0,0.00119300199038924,0,0,0,55,0,216,0,0,2
"251","系所",0,0.00308050984540359,0,0.00039228297820577,0,0,0,27,0,71,0,0,2
"252","系統",0,0.00376393004829865,0,0.000563518813212717,0,0,0,33,0,102,0,0,2
"253","招生",0,0.0100152194400378,0,0,0,0,0,55,0,0,0,0,1
"254","科系",0,0.00171242973736635,0,0.000160244690752983,0,0,0,15,0,29,0,0,2
"255","計畫",0,0.00251067749314588,0,0.000237596074305771,0,0,0,22,0,43,0,0,2
"256","面試",0,0.00216864027237479,0,0.00186075471866765,0,0,0,19,0,337,0,0,2
"257","國立",0,0.00410548540530485,0,0.000226546200425921,0,0,0,36,0,41,0,0,2
"258","國際",0,0.00478828694171434,0,0.000325991180478357,0,0,0,42,0,59,0,0,2
"259","專業",0,0.00319444188431878,0,0.000314942169882549,0,0,0,28,0,57,0,0,2
"260","情報",0,0.0273645152293963,0,0,0,0,0,151,0,0,0,0,1
"261","教育",0,0.00328381828352053,0,0,0,0,0,18,0,0,0,0,1
"262","產業",0,0.00474138109991082,0,0,0,0,0,26,0,0,0,0,1
"263","設計",0,0.00444693768237704,0,0.000651888460089329,0,0,0,39,0,118,0,0,2
"264","通訊",0,0.00383054202802637,0,0,0,0,0,21,0,0,0,0,1
"265","連結",0,0.00239667657496879,0,0.000176820432426026,0,0,0,21,0,32,0,0,2
"266","報名",0,0.0110281740174971,0,0.000602181383021383,0,0,0,97,0,109,0,0,2
"267","報考",0,0.00467451529784641,0,0.000795474416736308,0,0,0,41,0,144,0,0,2
"268","提供",0,0.00273864487483418,0,0.000458570891951845,0,0,0,24,0,83,0,0,2
"269","筆試",0,0.00251067749314588,0,0.000685025298268824,0,0,0,22,0,124,0,0,2
"272","暨大",0,0.00310154029625066,0,0,0,0,0,17,0,0,0,0,1
"274","網址",0,0.00583378272667698,0,0,0,0,0,32,0,0,0,0,1
"275","網頁",0,0.00346607789877129,0,0,0,0,0,19,0,0,0,0,1
"276","網站",0,0.00251067749314588,0,0.000132617914964281,0,0,0,22,0,24,0,0,2
"278","學生",0,0.0059253745866636,0,0.000718161165955019,0,0,0,52,0,130,0,0,2
"279","學院",0,0.0034222715491022,0,0.000138143324090124,0,0,0,30,0,25,0,0,2
"280","學習",0,0.00251067749314588,0,0.000668457000494135,0,0,0,22,0,121,0,0,2
"281","學程",0,0.00328381828352053,0,0,0,0,0,18,0,0,0,0,1
"282","簡章",0,0.00401274654943395,0,0,0,0,0,22,0,0,0,0,1
"283","歡迎",0,0.00694777728723589,0,0.000209971187255505,0,0,0,61,0,38,0,0,2
"284","二",0,0.00535697361440176,0,0.00134203882802255,0,0,0,47,0,243,0,0,2
"285","入",0,0.00228266416881711,0,0.000729206239528704,0,0,0,20,0,132,0,0,2
"286","五",0,0.00262466692566296,0,0.00100529804149297,0,0,0,23,0,182,0,0,2
"287","六",0,0.00228266416881711,0,0.000602181383021383,0,0,0,20,0,109,0,0,2
"288","日",0,0.0103491290167246,0,0.000690548010277005,0,0,0,91,0,125,0,0,2
"290","止",0,0.00308050984540359,0,0.000204446128904141,0,0,0,27,0,37,0,0,2
"291","加",0,0.00285261134297298,0,0.000988734433175706,0,0,0,25,0,179,0,0,2
"292","包",0,0.0029665663323921,0,0.000325991180478357,0,0,0,26,0,59,0,0,2
"293","目",0,0.00228266416881711,0.00440044591169041,0,0,0,0,20,18,0,0,0,2
