"","word","sum","wordnum"
"1","■",16,1
"2","七",10,1
"3","二",18,1
"4","入",21,1
"5","力",19,1
"6","三",13,1
"7","口",14,1
"8","士",56,1
"9","工",60,1
"10","中",39,1
"11","五",12,1
"12","元",13,1
"13","內",26,1
"14","公",32,1
"15","六",13,1
"16","分",25,1
"17","心",20,1
"18","文",36,1
"19","方",15,1
"20","日",65,1
"21","月",63,1
"22","止",14,1
"23","主",28,1
"24","代",18,1
"25","出",19,1
"26","刊",18,1
"27","加",22,1
"28","北",34,1
"29","台",55,1
"30","四",15,1
"31","外",12,1
"32","正",24,1
"33","生",116,1
"34","目",12,1
"35","立",17,1
"36","交",24,1
"37","件",13,1
"38","份",12,1
"39","光",10,1
"40","全",19,1
"41","共",12,1
"42","名",101,1
"43","安",13,1
"44","年",72,1
"45","式",15,1
"46","成",35,1
"47","收",11,1
"48","次",72,1
"49","考",80,1
"50","行",21,1
"51","位",36,1
"52","作",38,1
"53","利",13,1
"54","助",21,1
"55","告",21,1
"56","址",12,1
"57","坊",17,1
"58","完",14,1
"59","希",11,1
"60","找",11,1
"61","技",22,1
"62","沒",12,1
"63","究",46,1
"64","系",38,1
"65","育",12,1
"66","並",14,1
"67","來",28,1
"68","兩",10,1
"69","取",46,1
"70","定",21,1
"71","性",12,1
"72","招",26,1
"73","放",43,1
"74","於",32,1
"75","明",14,1
"76","林",10,1
"77","法",19,1
"78","物",11,1
"79","知",24,1
"80","社",40,1
"81","表",12,1
"82","迎",19,1
"83","金",23,1
"84","附",15,1
"85","信",14,1
"86","前",16,1
"87","品",11,1
"88","室",22,1
"89","度",17,1
"90","政",20,1
"91","查",15,1
"92","流",14,1
"93","為",39,1
"94","相",20,1
"95","研",65,1
"96","科",41,1
"97","美",14,1
"98","計",19,1
"99","限",16,1
"100","面",27,1
"101","頁",23,1
"102","食",13,1
"103","個",30,1
"104","們",51,1
"105","家",50,1
"106","展",13,1
"107","師",26,1
"108","恭",38,1
"109","料",12,1
"110","時",55,1
"111","書",42,1
"112","校",37,1
"113","格",14,1
"114","班",34,1
"115","祝",23,1
"116","站",17,1
"117","訊",17,1
"118","討",17,1
"119","財",10,1
"120","院",27,1
"121","高",13,1
"122","動",22,1
"123","務",11,1
"124","參",29,1
"125","問",15,1
"126","國",51,1
"127","域",14,1
"128","將",12,1
"129","專",20,1
"130","情",113,1
"131","授",18,1
"132","教",36,1
"133","棄",11,1
"134","清",40,1
"135","現",19,1
"136","理",78,1
"137","產",14,1
"138","畢",12,1
"139","章",21,1
"140","組",27,1
"141","術",23,1
"142","規",10,1
"143","這",12,1
"144","備",52,1
"145","博",15,1
"146","喔",10,1
"147","喜",41,1
"148","單",48,1
"149","報",194,1
"150","場",10,1
"151","惠",10,1
"152","提",19,1
"153","暑",14,1
"154","期",58,1
"155","發",21,1
"156","程",30,1
"157","結",11,1
"158","給",13,1
"159","著",10,1
"160","評",10,1
"161","費",10,1
"162","週",11,1
"163","進",18,1
"164","開",26,1
"165","間",38,1
"166","順",11,1
"167","傳",11,1
"168","想",25,1
"169","意",24,1
"170","新",16,1
"171","會",92,1
"172","業",34,1
"173","準",11,1
"174","當",13,1
"175","經",23,1
"176","萬",16,1
"177","補",66,1
"178","詢",10,1
"179","試",66,1
"180","詳",13,1
"181","資",54,1
"182","路",14,1
"183","過",17,1
"184","達",10,1
"185","電",32,1
"186","實",29,1
"187","對",27,1
"188","榜",70,1
"189","碩",54,1
"190","網",42,1
"191","臺",20,1
"192","與",74,1
"193","遞",55,1
"194","際",10,1
"195","需",12,1
"196","領",14,1
"197","寫",12,1
"198","影",13,1
"199","獎",29,1
"200","課",10,1
"201","請",45,1
"202","論",65,1
"203","趣",14,1
"204","學",246,1
"205","機",21,1
"206","歷",13,1
"207","興",17,1
"208","辦",15,1
"209","錄",12,1
"210","館",10,1
"211","幫",11,1
"212","營",11,1
"213","績",10,1
"214","聯",15,1
"215","謝",13,1
"216","賽",19,1
"217","還",15,1
"218","點",20,1
"219","簡",28,1
"220","職",10,1
"221","題",29,1
"222","額",10,1
"223","繳",13,1
"224","證",13,1
"225","識",17,1
"226","關",23,1
"227","譯",13,1
"228","議",10,1
"229","囉",10,1
"230","歡",22,1
"231","讀",35,1
"232","驗",20,1
"233","灣",18,1
"234","入學",10,2
"235","上榜",23,2
"236","口試",14,2
"237","士生",11,2
"238","士班",14,2
"239","士論",11,2
"240","大考",14,2
"241","大第",14,2
"242","大學",41,2
"243","工作",21,2
"244","公告",17,2
"245","文獎",10,2
"246","日止",10,2
"247","北科",12,2
"248","台大",12,2
"249","台北",15,2
"250","本校",11,2
"251","同學",44,2
"252","名單",22,2
"253","年度",11,2
"254","有興",13,2
"255","次遞",38,2
"256","考生",14,2
"257","考試",35,2
"258","作坊",16,2
"259","希望",11,2
"260","我們",24,2
"261","到時",21,2
"262","取生",15,2
"263","招生",22,2
"264","放棄",10,2
"265","放榜",28,2
"266","的同",27,2
"267","知識",15,2
"268","社會",38,2
"269","相關",16,2
"270","研究",44,2
"271","師大",11,2
"272","恭喜",38,2
"273","時間",28,2
"274","書會",18,2
"275","祝大",11,2
"276","討論",11,2
"277","參加",10,2
"278","情報",101,2
"279","教授",17,2
"280","清大",34,2
"281","現代",10,2
"282","理想",10,2
"283","理碩",11,2
"284","理論",23,2
"285","產業",10,2
"286","畢業",11,2
"287","第一",11,2
"288","備上",14,2
"289","備取",27,2
"290","博士",13,2
"291","報名",49,2
"292","報到",28,2
"293","暑期",11,2
"294","期刊",18,2
"295","順利",11,2
"296","會學",19,2
"297","補名",14,2
"298","試第",14,2
"299","資訊",14,2
"300","實驗",16,2
"301","榜的",14,2
"302","碩士",40,2
"303","管理",28,2
"304","網址",12,2
"305","網站",11,2
"306","臺灣",10,2
"307","與現",10,2
"308","遞補",55,2
"309","領域",12,2
"310","獎學",12,2
"311","論文",17,2
"312","學生",11,2
"313","學年",10,2
"314","學金",14,2
"315","學院",17,2
"316","學術",14,2
"317","興趣",14,2
"318","簡章",13,2
"319","歡迎",19,2
"320","讀書",18,2
"321","驗室",16,2
"322","上榜的",13,3
"323","士論文",11,3
"324","大考試",14,3
"325","工作坊",16,3
"326","有興趣",13,3
"327","次遞補",38,3
"328","考試第",14,3
"329","到時間",16,3
"330","的同學",27,3
"331","社會學",19,3
"332","祝大家",11,3
"333","清大考",14,3
"334","理碩士",11,3
"335","備取生",13,3
"336","報到時",19,3
"337","補名單",14,3
"338","實驗室",16,3
"339","碩士班",10,3
"340","碩士論",11,3
"341","管理碩",11,3
"342","遞補名",14,3
"343","獎學金",12,3
"344","學年度",10,3
"345","讀書會",17,3
"346","大考試第",14,4
"347","次遞補名",10,4
"348","清大考試",14,4
"349","報到時間",16,4
"350","碩士論文",11,4
"351","管理碩士",11,4
"352","遞補名單",14,4
"353","次遞補名單",10,5
"354","清大考試第",14,5
