"","word","weight1","weight2","weight3","weight4","weight5","weight6","num1","num2","num3","num4","num5","num6","classnum"
"1","各位大大",0.00512505427009536,0,0,0,0,0,27,0,0,0,0,0,1
"2","請問各位",0.00341831627536194,0,0,0,0,0,18,0,0,0,0,0,1
"3","大大們",0.00265924867215843,0,0,0,0,0,14,0,0,0,0,0,1
"4","大家好",0.00237614727995871,0.00115108577585084,0,0,0,0,20,5,0,0,0,0,2
"5","不知道",0.00356235216057268,0,0,0.00057001178181133,0,0,30,0,0,8,0,0,2
"8","位前輩",0.00265924867215843,0,0,0,0,0,14,0,0,0,0,0,1
"9","找教授",0.00261348776991893,0,0,0.000285041788115051,0,0,22,0,0,4,0,0,2
"11","是不是",0.00166382693439934,0,0,0.000285041788115051,0,0,14,0,0,4,0,0,2
"13","問一下",0.00265924867215843,0,0,0,0,0,14,0,0,0,0,0,1
"14","推薦的",0.00417706537751667,0,0,0,0,0,22,0,0,0,0,0,1
"15","教授的",0.00166382693439934,0,0,0.000427535757005078,0,0,14,0,0,6,0,0,2
"16","想請問",0.00616763345126867,0,0,0,0,0.00525013522834684,52,0,0,0,0,2,2
"17","想請教",0.00322857924447808,0,0,0,0,0,17,0,0,0,0,0,1
"18","資工所",0.00303882230310245,0,0,0,0,0,16,0,0,0,0,0,1
"20","請問有",0.00265924867215843,0,0,0,0,0,14,0,0,0,0,0,1
"21","學長姐",0.00261348776991893,0,0,0.000356291015853027,0,0,22,0,0,5,0,0,2
"22","謝大家",0.00265924867215843,0,0,0,0,0,14,0,0,0,0,0,1
"23","一下",0.00308801943735161,0,0,0.00206492780395604,0,0,26,0,0,29,0,0,2
"28","也有",0.00190131688310723,0,0,0.000712469867052587,0,0,16,0,0,10,0,0,2
"29","大的",0.00178257814012277,0,0,0.000712469867052587,0,0,15,0,0,10,0,0,2
"30","大概",0.00225745836178101,0,0,0.00149566886792606,0,0,19,0,0,21,0,0,2
"31","大電",0.00303882230310245,0,0,0,0,0,16,0,0,0,0,0,1
"35","已經",0.00225745836178101,0,0,0.000712469867052587,0,0,19,0,0,10,0,0,2
"38","不過",0.00178257814012277,0,0,0.00106853662419774,0,0,15,0,0,15,0,0,2
"41","中興",0.00265924867215843,0,0,0,0,0,14,0,0,0,0,0,1
"43","今年",0.00332521065656233,0,0,0.00121093195652229,0,0,28,0,0,17,0,0,2
"45","方面",0.00178257814012277,0,0,0.000641243066595225,0,0,15,0,0,9,0,0,2
"47","以下",0.00190131688310723,0,0,0.000498776012136212,0,0,16,0,0,7,0,0,2
"48","北科",0.00322857924447808,0,0,0,0,0,17,0,0,0,0,0,1
"51","台科",0.00178257814012277,0,0,0.000213788073226035,0,0,15,0,0,3,0,0,2
"55","交大",0.00439195621811045,0,0,0.00192263991953392,0,0,37,0,0,27,0,0,2
"57","因為",0.00545769694304001,0,0,0.00348682331785027,0,0,46,0,0,49,0,0,2
"58","在職",0.00261348776991893,0,0,0.000213788073226035,0,0,22,0,0,3,0,0,2
"60","成大",0.00379944397021888,0,0,0.00113973653054837,0,0,32,0,0,16,0,0,2
"66","考慮",0.00237614727995871,0,0,0.000427535757005078,0,0,20,0,0,6,0,0,2
"70","所的",0.00261348776991893,0,0,0.000356291015853027,0,0,22,0,0,5,0,0,2
"72","板上",0.00190131688310723,0,0,0.000498776012136212,0,0,16,0,0,7,0,0,2
"74","的話",0.00296940517803146,0,0,0.00163801045602239,0,0,25,0,0,23,0,0,2
"78","很多",0.00225745836178101,0,0,0.00199378609855383,0,0,19,0,0,28,0,0,2
"79","怎麼",0.00249482374846752,0,0,0.000997332236906464,0,0,21,0,0,14,0,0,2
"80","政大",0.00202004316596883,0,0,0.000926123368110494,0,0,17,0,0,13,0,0,2
"81","政治",0.0021387569913221,0,0,0.00057001178181133,0,0,18,0,0,8,0,0,2
"82","是否",0.0021387569913221,0,0,0.000498776012136212,0,0,18,0,0,7,0,0,2
"85","研所",0.00190131688310723,0,0,0.000213788073226035,0,0,16,0,0,3,0,0,2
"86","科系",0.00166382693439934,0.00276064092596666,0,0,0,0,14,12,0,0,0,0,2
"89","財金",0.0021387569913221,0,0,0.000356291015853027,0,0,18,0,0,5,0,0,2
"90","問問",0.00202004316596883,0,0,0.000285041788115051,0,0,17,0,0,4,0,0,2
"91","問題",0.00439195621811045,0,0,0.00121093195652229,0,0,37,0,0,17,0,0,2
"92","專題",0.00166382693439934,0,0,0.000926123368110494,0,0,14,0,0,13,0,0,2
"93","推甄",0.00368090427588955,0,0,0.00156684190047187,0,0,31,0,0,22,0,0,2
"97","畢業",0.00569439194630709,0,0,0.00121093195652229,0,0,48,0,0,17,0,0,2
"98","第一",0.00322857924447808,0,0,0,0,0,17,0,0,0,0,0,1
"99","統計",0.0021387569913221,0,0,0.000213788073226035,0,0,18,0,0,3,0,0,2
"102","通訊",0.00178257814012277,0.00459733306876115,0,0,0,0,15,20,0,0,0,0,2
"103","部分",0.00225745836178101,0,0,0.000997332236906464,0,0,19,0,0,14,0,0,2
"104","都是",0.00202004316596883,0,0,0.00163801045602239,0,0,17,0,0,23,0,0,2
"105","備上",0.00249482374846752,0,0,0.000427535757005078,0,0,21,0,0,6,0,0,2
"106","備取",0.00356235216057268,0,0,0.000854910017245675,0,0,30,0,0,12,0,0,2
"110","想要",0.00166382693439934,0,0,0.000783692183747745,0,0,14,0,0,11,0,0,2
"111","想問",0.00190131688310723,0,0,0.000213788073226035,0,0,16,0,0,3,0,0,2
"112","意見",0.00436670291858289,0,0,0,0,0,23,0,0,0,0,0,1
"113","感謝",0.00285077848209145,0,0,0.000641243066595225,0,0,24,0,0,9,0,0,2
"114","會不",0.00166382693439934,0,0,0.000213788073226035,0,0,14,0,0,3,0,0,2
"116","經驗",0.00249482374846752,0,0,0.000926123368110494,0,0,21,0,0,13,0,0,2
"121","較推",0.00265924867215843,0,0,0,0,0,14,0,0,0,0,0,1
"123","電機",0.0021387569913221,0.00253084461940018,0,0,0,0,18,11,0,0,0,0,2
"125","管所",0.00284904544705632,0,0,0,0,0,15,0,0,0,0,0,1
"128","請益",0.0271672906508699,0,0,0,0,0,144,0,0,0,0,0,1
"129","請問",0.00202004316596883,0,0,0,0,0.00525013522834684,17,0,0,0,0,2,2
"135","錄取",0.00166382693439934,0,0,0.000783692183747745,0,0,14,0,0,11,0,0,2
"136","應該",0.00296940517803146,0,0,0.00113973653054837,0,0,25,0,0,16,0,0,2
"140","｜",0.00550411071654776,0,0,0,0,0,29,0,0,0,0,0,1
"141","乙",0.00166382693439934,0.00115108577585084,0,0,0,0,14,5,0,0,0,0,2
"153","太",0.00249482374846752,0,0,0.00163801045602239,0,0,21,0,0,23,0,0,2
"157","方",0.00249482374846752,0.00207111193875876,0,0,0,0,21,9,0,0,0,0,2
"158","日",0.00356235216057268,0.0116864852074132,0,0,0,0,30,51,0,0,0,0,2
"163","北",0.00190131688310723,0.00184117552673054,0,0,0,0,16,8,0,0,0,0,2
"164","古",0.00265924867215843,0,0,0,0,0,14,0,0,0,0,0,1
"168","未",0.00178257814012277,0,0,0.00057001178181133,0,0,15,0,0,8,0,0,2
"171","甲",0.0037977306223644,0,0,0,0,0,20,0,0,0,0,0,1
"174","交",0.00249482374846752,0.00115108577585084,0,0,0,0,21,5,0,0,0,0,2
"177","光",0.00178257814012277,0,0,0.00057001178181133,0,0,15,0,0,8,0,0,2
"181","回",0.00237614727995871,0,0,0.000712469867052587,0,0,20,0,0,10,0,0,2
"193","材",0.00417706537751667,0,0,0,0,0,22,0,0,0,0,0,1
"200","念",0.00166382693439934,0,0,0.00106853662419774,0,0,14,0,0,15,0,0,2
"205","東",0.00237614727995871,0,0.00397681292213179,0,0,0,20,0,2,0,0,0,2
"206","林",0.00166382693439934,0,0,0.000285041788115051,0,0,14,0,0,4,0,0,2
"208","況",0.00225745836178101,0.00115108577585084,0,0,0,0,19,5,0,0,0,0,2
"210","物",0.00202004316596883,0,0,0.000427535757005078,0,0,17,0,0,6,0,0,2
"211","狀",0.00166382693439934,0,0,0.000213788073226035,0,0,14,0,0,3,0,0,2
"220","指",0.00202004316596883,0,0,0.000285041788115051,0,0,17,0,0,4,0,0,2
"227","風",0.00190131688310723,0,0,0.000498776012136212,0,0,16,0,0,7,0,0,2
"230","們",0.00344378762166498,0.00115108577585084,0,0,0,0,29,5,0,0,0,0,2
"231","原",0.00190131688310723,0.00115108577585084,0,0,0,0,16,5,0,0,0,0,2
"233","差",0.00225745836178101,0,0,0.000427535757005078,0,0,19,0,0,6,0,0,2
"238","格",0.00190131688310723,0,0,0.000213788073226035,0,0,16,0,0,3,0,0,2
"239","氣",0.0021387569913221,0,0,0.000712469867052587,0,0,18,0,0,10,0,0,2
"240","班",0.00545769694304001,0,0,0.000285041788115051,0,0,46,0,0,4,0,0,2
"243","站",0.00178257814012277,0,0,0.000427535757005078,0,0,15,0,0,6,0,0,2
"245","做",0.00522095241162768,0,0,0.000783692183747745,0,0,44,0,0,11,0,0,2
"249","夠",0.00166382693439934,0,0,0.000427535757005078,0,0,14,0,0,6,0,0,2
"252","排",0.00166382693439934,0,0,0.000498776012136212,0,0,14,0,0,7,0,0,2
"255","清",0.00225745836178101,0,0,0.000356291015853027,0,0,19,0,0,5,0,0,2
"258","習",0.00178257814012277,0.00115108577585084,0,0,0,0,15,5,0,0,0,0,2
"260","部",0.0021387569913221,0.00344974993812871,0,0,0,0,18,15,0,0,0,0,2
"262","備",0.0021387569913221,0,0,0.00106853662419774,0,0,18,0,0,15,0,0,2
"271","答",0.00322857924447808,0,0,0,0,0,17,0,0,0,0,0,1
"286","解",0.00403648610632404,0,0,0,0.0114864145110319,0,34,0,0,0,2,0,2
