"","word","weight1","weight2","weight3","weight4","weight5","weight6","num1","num2","num3","num4","num5","num6","classnum"
"1","各位大大",0.00688734653439789,0,0,0,0,0,133,0,0,0,0,0,1
"2","大家好",0.00616359676640966,0,0,0,0,0,119,0,0,0,0,0,1
"4","有沒有",0.00495583388920361,0,0,0.000475142263569447,0,0,153,0,0,86,0,0,2
"5","找教授",0.00566665569779774,0,0,0.000198921043571726,0,0,175,0,0,36,0,0,2
"6","的教授",0.00576355135250444,0,0,0.000198921043571726,0,0,178,0,0,36,0,0,2
"8","教授的",0.00282068501664315,0,0,0.000331515645313246,0,0,87,0,0,60,0,0,2
"9","想請問",0.00808656103811088,0,0,0,0,0.00525013522834684,250,0,0,0,0,2,2
"11","學長姐",0.00401815865060905,0,0,0.000337040083173143,0,0,124,0,0,61,0,0,2
"13","上的",0.00411519558291187,0,0,0.00117092078910852,0,0,127,0,0,212,0,0,2
"19","中山",0.00440625645442866,0,0,0.000552472122024272,0,0,136,0,0,100,0,0,2
"21","中興",0.00304733131157403,0,0,0.000386758810081303,0,0,94,0,0,70,0,0,2
"24","方面",0.00249682581549336,0,0,0.000535901883007891,0,0,77,0,0,97,0,0,2
"26","可能",0.00295020274461811,0,0,0.00116540042145151,0,0,91,0,0,211,0,0,2
"28","台科",0.00330630006587156,0,0,0.00041437938098558,0,0,102,0,0,75,0,0,2
"37","有點",0.00252921590757825,0,0,0.00123164305568403,0,0,78,0,0,223,0,0,2
"42","所的",0.00239964997523224,0,0,0.000325991180478357,0,0,74,0,0,59,0,0,2
"44","版上",0.00362992767433977,0,0,0.000502760676906083,0,0,112,0,0,91,0,0,2
"48","是否",0.00379170677113227,0,0,0.000381234614984478,0,0,117,0,0,69,0,0,2
"58","備上",0.0036622853443737,0,0,0.00024312097077661,0,0,113,0,0,44,0,0,2
"60","想問",0.00507742868619282,0,0,0,0,0,98,0,0,0,0,0,1
"61","意見",0.0026263806205693,0,0,0.000209971187255505,0,0,81,0,0,38,0,0,2
"62","感謝",0.00553744858163039,0,0,0.001066029197441,0,0,171,0,0,193,0,0,2
"66","電機",0.00395346273845225,0,0,0.000254170682780426,0,0,122,0,0,46,0,0,2
"68","請益",0.0413417356731225,0,0,0,0,0,806,0,0,0,0,0,1
"69","請問",0.0038240598147425,0,0,0,0,0.00525013522834684,118,0,0,0,0,2,2
"76","乙",0.00372699790832246,0,0,0.000270745048446708,0,0,115,0,0,49,0,0,2
"89","方",0.00505279043670203,0.00444693768237704,0,0,0,0,156,39,0,0,0,0,2
"110","身",0.00291782470259134,0,0,0.000823085011715991,0,0,90,0,0,149,0,0,2
"114","念",0.00285306583865664,0,0,0.000690548010277005,0,0,88,0,0,125,0,0,2
"118","林",0.00243204284937358,0,0,0.000690548010277005,0,0,75,0,0,125,0,0,2
"121","物",0.00239964997523224,0,0,0.000640842631687966,0,0,74,0,0,116,0,0,2
"126","指",0.00239964997523224,0,0,0.000430951399873398,0,0,74,0,0,78,0,0,2
"131","修",0.00307970564769454,0,0,0.00115435960533145,0,0,95,0,0,209,0,0,2
"134","原",0.00249682581549336,0,0,0.000596658239651373,0,0,77,0,0,108,0,0,2
"169","補",0.00243204284937358,0,0,0.000823085011715991,0,0,75,0,0,149,0,0,2
"174","路",0.00285306583865664,0,0,0.000320466688668212,0,0,88,0,0,58,0,0,2
"181","網",0.00508510743956042,0,0,0.000325991180478357,0,0,157,0,0,59,0,0,2
