"","word","sum","wordnum"
"1","▇",22,1
"2","乙",30,1
"3","丁",12,1
"4","力",14,1
"5","三",11,1
"6","子",29,1
"7","山",10,1
"8","工",84,1
"9","中",84,1
"10","什",17,1
"11","內",15,1
"12","分",30,1
"13","化",33,1
"14","友",60,1
"15","天",15,1
"16","太",28,1
"17","少",21,1
"18","心",22,1
"19","文",45,1
"20","方",30,1
"21","日",11,1
"22","丙",12,1
"23","主",13,1
"24","代",26,1
"25","出",15,1
"26","台",71,1
"27","外",21,1
"28","央",24,1
"29","正",47,1
"30","生",44,1
"31","甲",30,1
"32","目",47,1
"33","交",43,1
"34","先",26,1
"35","光",17,1
"36","名",28,1
"37","回",15,1
"38","年",109,1
"39","成",91,1
"40","收",14,1
"41","次",15,1
"42","老",47,1
"43","考",57,1
"44","位",130,1
"45","作",21,1
"46","否",16,1
"47","希",31,1
"48","弟",70,1
"49","找",62,1
"50","求",10,1
"51","沒",81,1
"52","究",32,1
"53","系",55,1
"54","見",14,1
"55","走",12,1
"56","身",11,1
"57","來",42,1
"58","兩",27,1
"59","取",166,1
"60","姐",17,1
"61","定",18,1
"62","幸",23,1
"63","念",11,1
"64","放",25,1
"65","於",23,1
"66","明",12,1
"67","朋",40,1
"68","林",10,1
"69","果",20,1
"70","況",34,1
"71","爬",16,1
"72","版",30,1
"73","狀",22,1
"74","知",58,1
"75","近",10,1
"76","長",26,1
"77","非",14,1
"78","信",23,1
"79","前",75,1
"80","室",30,1
"81","建",11,1
"82","後",28,1
"83","政",24,1
"84","查",18,1
"85","為",49,1
"86","相",17,1
"87","研",47,1
"88","科",73,1
"89","計",16,1
"90","面",48,1
"91","風",25,1
"92","個",57,1
"93","們",32,1
"94","家",66,1
"95","差",12,1
"96","師",45,1
"97","料",23,1
"98","時",35,1
"99","書",10,1
"100","校",27,1
"101","氣",20,1
"102","益",123,1
"103","真",23,1
"104","祝",15,1
"105","站",10,1
"106","訊",21,1
"107","高",15,1
"108","假",12,1
"109","做",15,1
"110","動",21,1
"111","問",156,1
"112","域",23,1
"113","常",15,1
"114","情",17,1
"115","授",154,1
"116","控",17,1
"117","推",36,1
"118","教",168,1
"119","械",21,1
"120","清",18,1
"121","現",16,1
"122","理",26,1
"123","畢",34,1
"124","組",64,1
"125","統",18,1
"126","船",11,1
"127","這",78,1
"128","通",12,1
"129","陳",13,1
"130","備",228,1
"131","單",13,1
"132","幾",34,1
"133","然",17,1
"134","發",11,1
"135","程",12,1
"136","答",12,1
"137","給",12,1
"138","間",34,1
"139","順",12,1
"140","嗎",56,1
"141","想",127,1
"142","意",28,1
"143","感",46,1
"144","會",113,1
"145","業",44,1
"146","概",11,1
"147","準",16,1
"148","當",14,1
"149","經",28,1
"150","解",16,1
"151","詢",17,1
"152","試",39,1
"153","話",12,1
"154","該",17,1
"155","資",90,1
"156","路",14,1
"157","較",38,1
"158","過",61,1
"159","道",48,1
"160","電",92,1
"161","實",45,1
"162","對",23,1
"163","榜",33,1
"164","網",17,1
"165","與",15,1
"166","說",36,1
"167","領",23,1
"168","麼",35,1
"169","數",23,1
"170","樣",19,1
"171","熱",12,1
"172","確",12,1
"173","課",17,1
"174","請",221,1
"175","趣",21,1
"176","輩",22,1
"177","學",124,1
"178","導",10,1
"179","擇",12,1
"180","機",107,1
"181","歷",10,1
"182","興",36,1
"183","選",21,1
"184","錄",10,1
"185","幫",28,1
"186","應",24,1
"187","績",11,1
"188","薦",24,1
"189","謝",140,1
"190","還",48,1
"191","雖",10,1
"192","點",23,1
"193","題",41,1
"194","邊",12,1
"195","關",26,1
"196","難",12,1
"197","類",14,1
"198","覺",20,1
"199","聽",21,1
"200","讀",15,1
"201","驗",36,1
"202","體",13,1
"203","蠻",13,1
"204","▇▇",18,2
"205","一下",35,2
"206","上的",20,2
"207","大大",30,2
"208","大系",10,2
"209","大的",15,2
"210","大資",21,2
"211","大電",33,2
"212","大學",14,2
"213","小弟",65,2
"214","工作",12,2
"215","工備",10,2
"216","不太",11,2
"217","不知",32,2
"218","不會",14,2
"219","不過",13,2
"220","中山",10,2
"221","中央",24,2
"222","中正",11,2
"223","中興",15,2
"224","什麼",17,2
"225","今年",40,2
"226","化學",11,2
"227","方面",12,2
"228","比較",30,2
"229","以下",13,2
"230","去年",18,2
"231","可能",13,2
"232","台大",33,2
"233","台科",26,2
"234","正取",24,2
"235","由於",10,2
"236","甲組",14,2
"237","目前",33,2
"238","交大",35,2
"239","光電",12,2
"240","因為",31,2
"241","年有",10,2
"242","年備",13,2
"243","成大",64,2
"244","成績",11,2
"245","有人",15,2
"246","有沒",32,2
"247","有幸",20,2
"248","有機",32,2
"249","有興",11,2
"250","有點",14,2
"251","老師",45,2
"252","考試",16,2
"253","自動",12,2
"254","位大",22,2
"255","位前",10,2
"256","希望",31,2
"257","弟今",13,2
"258","找教",30,2
"259","沒有",57,2
"260","究所",12,2
"261","系船",11,2
"262","到的",10,2
"263","取狀",12,2
"264","取情",10,2
"265","往年",10,2
"266","放榜",18,2
"267","朋友",40,2
"268","版上",19,2
"269","狀況",22,2
"270","的教",37,2
"271","的備",13,2
"272","的資",10,2
"273","的學",20,2
"274","知道",45,2
"275","長姐",17,2
"276","非常",11,2
"277","前輩",17,2
"278","室的",10,2
"279","室風",11,2
"280","政大",19,2
"281","是否",11,2
"282","是我",11,2
"283","相關",11,2
"284","研究",32,2
"285","面的",10,2
"286","面試",13,2
"287","風氣",19,2
"288","家好",18,2
