"","word","sum","wordnum"
"1","Ｑ",19,1
"2","ㄧ",19,1
"3","乙",45,1
"4","丁",11,1
"5","七",45,1
"6","九",53,1
"7","二",285,1
"8","入",124,1
"9","八",77,1
"10","力",584,1
"11","十",158,1
"12","三",424,1
"13","久",62,1
"14","千",30,1
"15","口",87,1
"16","土",59,1
"17","士",25,1
"18","女",69,1
"19","子",407,1
"20","山",53,1
"21","工",746,1
"22","中",791,1
"23","予",22,1
"24","互",35,1
"25","五",117,1
"26","什",347,1
"27","介",80,1
"28","元",53,1
"29","內",264,1
"30","公",174,1
"31","六",90,1
"32","分",1353,1
"33","切",51,1
"34","化",269,1
"35","升",35,1
"36","午",47,1
"37","友",264,1
"38","反",121,1
"39","天",488,1
"40","太",398,1
"41","少",294,1
"42","尤",59,1
"43","引",16,1
"44","心",938,1
"45","手",154,1
"46","扎",22,1
"47","支",48,1
"48","文",1161,1
"49","方",617,1
"50","日",83,1
"51","月",473,1
"52","木",20,1
"53","止",18,1
"54","毛",17,1
"55","水",37,1
"56","父",15,1
"57","片",51,1
"58","王",86,1
"59","世",37,1
"60","丙",22,1
"61","主",227,1
"62","乏",13,1
"63","仔",31,1
"64","付",23,1
"65","代",342,1
"66","充",90,1
"67","冊",55,1
"68","出",723,1
"69","刊",22,1
"70","功",72,1
"71","加",231,1
"72","包",49,1
"73","北",72,1
"74","半",138,1
"75","卡",31,1
"76","古",379,1
"77","句",52,1
"78","台",816,1
"79","史",207,1
"80","右",61,1
"81","司",44,1
"82","四",205,1
"83","外",303,1
"84","央",68,1
"85","失",49,1
"86","左",63,1
"87","巧",44,1
"88","市",12,1
"89","平",120,1
"90","必",144,1
"91","未",83,1
"92","末",27,1
"93","正",551,1
"94","母",32,1
"95","民",137,1
"96","永",15,1
"97","犯",19,1
"98","玉",15,1
"99","生",456,1
"100","甲",69,1
"101","申",19,1
"102","白",75,1
"103","皮",13,1
"104","目",779,1
"105","示",19,1
"106","立",166,1
"107","丟",12,1
"108","交",328,1
"109","件",69,1
"110","份",145,1
"111","企",43,1
"112","伍",12,1
"113","休",57,1
"114","先",229,1
"115","光",70,1
"116","全",342,1
"117","共",51,1
"118","刑",171,1
"119","列",44,1
"120","印",59,1
"121","危",12,1
"122","吃",88,1
"123","合",176,1
"124","名",248,1
"125","回",351,1
"126","字",171,1
"127","存",14,1
"128","宇",31,1
"129","安",93,1
"130","年",649,1
"131","式",354,1
"132","忙",42,1
"133","成",769,1
"134","扣",36,1
"135","收",79,1
"136","早",144,1
"137","曲",12,1
"138","次",409,1
"139","死",49,1
"140","百",31,1
"141","老",852,1
"142","考",2724,1
"143","色",36,1
"144","行",186,1
"145","西",235,1
"146","串",15,1
"147","估",28,1
"148","伴",28,1
"149","似",39,1
"150","位",189,1
"151","低",125,1
"152","住",55,1
"153","佔",10,1
"154","佛",27,1
"155","作",398,1
"156","克",16,1
"157","免",25,1
"158","兵",32,1
"159","冷",11,1
"160","判",24,1
"161","別",261,1
"162","利",83,1
"163","助",212,1
"164","努",87,1
"165","君",13,1
"166","否",53,1
"167","含",27,1
"168","吳",10,1
"169","吸",24,1
"170","告",62,1
"171","困",27,1
"172","均",33,1
"173","坐",36,1
"174","宋",18,1
"175","完",737,1
"176","宏",19,1
"177","尾",24,1
"178","希",115,1
"179","床",18,1
"180","序",43,1
"181","弄",43,1
"182","弟",124,1
"183","形",44,1
"184","忍",10,1
"185","志",46,1
"186","忘",105,1
"187","快",147,1
"188","批",22,1
"189","找",266,1
"190","技",50,1
"191","抄",78,1
"192","抓",58,1
"193","投",59,1
"194","折",15,1
"195","改",74,1
"196","攻",15,1
"197","更",203,1
"198","李",101,1
"199","材",71,1
"200","束",46,1
"201","步",81,1
"202","求",62,1
"203","決",164,1
"204","沈",11,1
"205","沉",10,1
"206","沒",1308,1
"207","狂",48,1
"208","男",20,1
"209","私",32,1
"210","究",324,1
"211","系",466,1
"212","良",36,1
"213","見",113,1
"214","角",22,1
"215","言",102,1
"216","走",85,1
"217","足",62,1
"218","身",126,1
"219","車",22,1
"220","辛",22,1
"221","並",195,1
"222","乖",12,1
"223","事",258,1
"224","亞",11,1
"225","享",104,1
"226","佳",18,1
"227","來",1266,1
"228","例",184,1
"229","供",55,1
"230","兩",382,1
"231","具",18,1
"232","典",39,1
"233","函",22,1
"234","初",128,1
"235","制",105,1
"236","刷",17,1
"237","刺",34,1
"238","刻",37,1
"239","協",13,1
"240","卷",91,1
"241","取",424,1
"242","受",69,1
"243","周",97,1
"244","命",36,1
"245","固",21,1
"246","夜",10,1
"247","奇",21,1
"248","妹",101,1
"249","姊",24,1
"250","始",486,1
"251","姐",24,1
"252","委",13,1
"253","季",30,1
"254","孤",19,1
"255","宗",19,1
"256","官",22,1
"257","定",586,1
"258","宜",11,1
"259","居",11,1
"260","屆",67,1
"261","幸",65,1
"262","底",141,1
"263","延",29,1
"264","忠",12,1
"265","念",823,1
"266","忽",16,1
"267","怕",59,1
"268","性",197,1
"269","怪",27,1
"270","承",28,1
"271","抱",40,1
"272","抽",22,1
"273","拉",37,1
"274","拖",17,1
"275","拚",14,1
"276","招",12,1
"277","放",317,1
"278","於",374,1
"279","昀",10,1
"280","昊",11,1
"281","昌",10,1
"282","明",254,1
"283","易",137,1
"284","朋",151,1
"285","服",28,1
"286","東",218,1
"287","板",72,1
"288","析",75,1
"289","林",135,1
"290","果",506,1
"291","油",15,1
"292","治",64,1
"293","況",83,1
"294","法",1104,1
"295","波",38,1
"296","注",89,1
"297","爬",29,1
"298","爭",60,1
"299","爸",16,1
"300","版",137,1
"301","物",157,1
"302","狀",64,1
"303","玩",72,1
"304","盲",11,1
"305","直",292,1
"306","知",342,1
"307","社",185,1
"308","空",79,1
"309","股",11,1
"310","花",162,1
"311","芳",15,1
"312","表",109,1
"313","迎",19,1
"314","近",125,1
"315","邱",10,1
"316","金",76,1
"317","長",177,1
"318","門",99,1
"319","附",30,1
"320","青",12,1
"321","非",286,1
"322","亮",37,1
"323","便",85,1
"324","係",65,1
"325","保",76,1
"326","信",148,1
"327","則",147,1
"328","前",780,1
"329","勇",11,1
"330","勉",20,1
"331","南",26,1
"332","卻",59,1
"333","厚",11,1
"334","品",22,1
"335","型",117,1
"336","威",11,1
"337","客",22,1
"338","室",64,1
"339","度",342,1
"340","建",224,1
"341","律",84,1
"342","後",1434,1
"343","思",197,1
"344","急",12,1
"345","拜",73,1
"346","括",12,1
"347","拼",17,1
"348","持",123,1
"349","指",48,1
"350","挑",38,1
"351","政",324,1
"352","施",14,1
"353","星",34,1
"354","映",11,1
"355","春",22,1
"356","架",44,1
"357","查",50,1
"358","柯",19,1
"359","段",214,1
"360","洋",12,1
"361","洗",17,1
"362","洞",10,1
"363","洪",63,1
"364","活",88,1
"365","派",29,1
"366","流",91,1
"367","炸",15,1
"368","為",1048,1
"369","牲",10,1
"370","甚",92,1
"371","界",51,1
"372","皇",12,1
"373","相",281,1
"374","省",26,1
"375","研",463,1
"376","科",644,1
"377","秒",24,1
"378","突",35,1
"379","紀",26,1
"380","約",90,1
"381","紅",17,1
"382","美",55,1
"383","耍",19,1
"384","耐",13,1
"385","背",278,1
"386","苦",58,1
"387","英",251,1
"388","訂",12,1
"389","計",461,1
"390","負",51,1
"391","軍",12,1
"392","迫",16,1
"393","述",81,1
"394","重",615,1
"395","降",11,1
"396","限",52,1
"397","面",584,1
"398","音",46,1
"399","頁",46,1
"400","風",31,1
"401","飛",15,1
"402","首",34,1
"403","修",162,1
"404","個",1298,1
"405","倍",16,1
"406","們",365,1
"407","倒",33,1
