"","word","sum","wordnum"
"1","Ｑ",14,1
"2","乙",20,1
"3","二",19,1
"4","三",33,1
"5","口",13,1
"6","士",11,1
"7","子",10,1
"8","山",26,1
"9","工",53,1
"10","中",90,1
"11","什",10,1
"12","內",23,1
"13","分",37,1
"14","友",22,1
"15","天",15,1
"16","太",11,1
"17","少",33,1
"18","心",30,1
"19","文",54,1
"20","方",33,1
"21","主",12,1
"22","代",26,1
"23","出",16,1
"24","加",13,1
"25","台",36,1
"26","外",19,1
"27","央",24,1
"28","正",49,1
"29","生",53,1
"30","甲",12,1
"31","目",35,1
"32","交",52,1
"33","先",52,1
"34","名",21,1
"35","回",22,1
"36","安",15,1
"37","年",87,1
"38","成",54,1
"39","收",15,1
"40","早",10,1
"41","老",33,1
"42","考",84,1
"43","西",11,1
"44","位",99,1
"45","作",12,1
"46","否",18,1
"47","希",31,1
"48","弟",58,1
"49","找",52,1
"50","李",11,1
"51","沒",67,1
"52","究",32,1
"53","系",47,1
"54","見",11,1
"55","享",11,1
"56","來",40,1
"57","兩",26,1
"58","取",93,1
"59","姐",18,1
"60","定",20,1
"61","幸",18,1
"62","念",15,1
"63","放",39,1
"64","於",30,1
"65","明",20,1
"66","朋",15,1
"67","東",13,1
"68","板",18,1
"69","果",21,1
"70","況",11,1
"71","法",15,1
"72","爬",13,1
"73","版",21,1
"74","物",10,1
"75","知",43,1
"76","長",28,1
"77","非",12,1
"78","便",14,1
"79","信",27,1
"80","前",69,1
"81","室",28,1
"82","建",18,1
"83","後",37,1
"84","指",12,1
"85","查",16,1
"86","為",31,1
"87","相",25,1
"88","研",45,1
"89","科",61,1
"90","英",10,1
"91","計",21,1
"92","面",36,1
"93","風",19,1
"94","修",13,1
"95","個",46,1
"96","們",28,1
"97","剛",12,1
"98","原",12,1
"99","家",64,1
"100","師",38,1
"101","料",18,1
"102","時",47,1
"103","書",19,1
"104","校",29,1
"105","氣",21,1
"106","班",36,1
"107","益",123,1
"108","真",13,1
"109","站",10,1
"110","訊",22,1
"111","高",18,1
"112","做",14,1
"113","問",136,1
"114","國",17,1
"115","域",15,1
"116","夠",12,1
"117","寄",16,1
"118","專",30,1
"119","常",14,1
"120","張",10,1
"121","授",212,1
"122","排",10,1
"123","接",11,1
"124","推",56,1
"125","教",232,1
"126","械",19,1
"127","棄",10,1
"128","清",42,1
"129","現",22,1
"130","理",30,1
"131","畢",46,1
"132","組",53,1
"133","統",16,1
"134","習",16,1
"135","這",65,1
"136","通",11,1
"137","部",13,1
"138","陳",16,1
"139","麻",11,1
"140","備",119,1
"141","單",13,1
"142","報",25,1
"143","幾",29,1
"144","提",14,1
"145","然",23,1
"146","發",17,1
"147","程",17,1
"148","給",16,1
