"","word","sum","wordnum"
"1","┌",3,1
"2","└",3,1
"3","├",5,1
"4","二",3,1
"5","八",2,1
"6","力",6,1
"7","口",2,1
"8","士",2,1
"9","山",2,1
"10","工",11,1
"11","中",13,1
"12","五",2,1
"13","什",2,1
"14","元",2,1
"15","分",10,1
"16","友",3,1
"17","天",4,1
"18","太",2,1
"19","少",2,1
"20","心",5,1
"21","文",2,1
"22","月",4,1
"23","句",2,1
"24","台",3,1
"25","外",2,1
"26","央",4,1
"27","幼",3,1
"28","旦",2,1
"29","生",4,1
"30","目",7,1
"31","光",2,1
"32","全",2,1
"33","吉",2,1
"34","年",6,1
"35","式",2,1
"36","成",4,1
"37","扣",2,1
"38","收",4,1
"39","考",23,1
"40","西",2,1
"41","位",3,1
"42","完",2,1
"43","希",2,1
"44","弟",2,1
"45","找",3,1
"46","沒",11,1
"47","究",4,1
"48","系",11,1
"49","走",5,1
"50","事",2,1
"51","享",3,1
"52","來",5,1
"53","供",3,1
"54","兩",2,1
"55","制",14,1
"56","受",3,1
"57","始",2,1
"58","定",2,1
"59","念",7,1
"60","怕",3,1
"61","拚",2,1
"62","於",2,1
"63","昌",2,1
"64","明",2,1
"65","朋",3,1
"66","東",2,1
"67","板",4,1
"68","果",4,1
"69","版",4,1
"70","直",2,1
"71","知",3,1
"72","門",2,1
"73","亮",2,1
"74","信",2,1
"75","則",3,1
"76","前",9,1
"77","型",3,1
"78","室",4,1
"79","度",3,1
"80","後",9,1
"81","持",2,1
"82","政",2,1
"83","查",2,1
"84","段",3,1
"85","為",4,1
"86","研",3,1
"87","科",2,1
"88","計",5,1
"89","重",2,1
"90","面",5,1
"91","修",2,1
"92","個",17,1
"93","家",2,1
"94","料",3,1
"95","時",3,1
"96","書",11,1
"97","校",2,1
"98","班",5,1
"99","留",2,1
"100","真",4,1
"101","訊",4,1
"102","假",3,1
"103","動",9,1
"104","問",10,1
"105","國",2,1
"106","崩",3,1
"107","常",5,1
"108","授",5,1
"109","接",2,1
"110","控",14,1
"111","推",4,1
"112","教",9,1
"113","械",8,1
"114","現",3,1
"115","理",6,1
"116","畢",2,1
"117","竟",2,1
"118","章",4,1
"119","組",6,1
"120","統",5,1
"121","習",3,1
"122","聊",6,1
"123","許",3,1
"124","這",12,1
"125","連",3,1
"126","備",2,1
"127","單",2,1
"128","報",2,1
"129","幾",6,1
"130","提",5,1
"131","無",2,1
"132","然",6,1
"133","硬",2,1
"134","程",10,1
"135","給",3,1
"136","越",2,1
"137","進",2,1
"138","開",3,1
"139","閒",6,1
"140","間",2,1
"141","階",2,1
"142","嗎",3,1
"143","想",10,1
"144","感",5,1
"145","會",9,1
"146","準",4,1
"147","煩",2,1
"148","葉",2,1
"149","補",3,1
"150","試",11,1
"151","話",3,1
"152","該",2,1
"153","資",7,1
"154","路",5,1
"155","過",4,1
"156","道",2,1
"157","電",6,1
"158","實",5,1
"159","對",4,1
"160","滿",3,1
"161","碩",2,1
"162","算",6,1
"163","網",3,1
"164","說",6,1
"165","麼",4,1
"166","數",5,1
"167","樣",2,1
"168","潰",3,1
"169","熱",3,1
"170","篇",2,1
"171","輩",2,1
"172","學",10,1
"173","整",6,1
"174","機",17,1
"175","興",2,1
"176","選",3,1
"177","壓",2,1
"178","環",2,1
"179","薦",3,1
"180","還",5,1
"181","雖",2,1
"182","點",3,1
"183","簡",2,1
"184","題",8,1
"185","爆",2,1
"186","羅",2,1
"187","覺",5,1
"188","讀",3,1
"189","驗",4,1
"190","讓",4,1
"191","一句",2,2
"192","一個",6,2
"193","人生",2,2
"194","人在",2,2
"195","人的",4,2
"196","人推",2,2
"197","上有",2,2
"198","上的",3,2
"199","口試",2,2
"200","士班",2,2
"201","大幼",2,2
"202","小弟",2,2
"203","工程",7,2
"204","不太",2,2
"205","不同",2,2
"206","不到",2,2
"207","不要",5,2
"208","不給",2,2
"209","中山",2,2
"210","中央",4,2
"211","五分",2,2
"212","什麼",2,2
"213","今天",2,2
"214","元旦",2,2
"215","分享",3,2
"216","心得",2,2
"217","以分",2,2
"218","可能",2,2
"219","幼教",3,2
"220","旦連",2,2
"221","生不",2,2
"222","用計",4,2
"223","目前",5,2
"224","光機",2,2
"225","吉昌",2,2
"226","同的",2,2
"227","因為",3,2
"228","在實",2,2
"229","好好",2,2
"230","好的",3,2
"231","扣五",2,2
"232","有人",2,2
"233","有沒",2,2
"234","有很",2,2
"235","有提",2,2
"236","有點",2,2
"237","考了",2,2
"238","考工",3,2
"239","考試",8,2
"240","自動",6,2
"241","西還",2,2
"242","但我",2,2
"243","你是",2,2
"244","希望",2,2
"245","我來",2,2
"246","我朋",2,2
"247","每天",2,2
"248","沒有",4,2
"249","沒念",2,2
"250","究所",2,2
"251","系控",2,2
"252","系統",5,2
"253","使用",2,2
"254","到他",3,2
"255","到的",2,2
"256","制組",4,2
"257","念書",4,2
"258","所的",2,2
"259","朋友",3,2
"260","版上",4,2
"261","的是",2,2
"262","的教",2,2
"263","的資",2,2
"264","知道",2,2
"265","則亮",2,2
"266","很多",3,2
"267","很好",2,2
"268","很像",2,2
"269","後一",3,2
"270","政大",2,2
"271","是工",2,2
"272","是不",2,2
"273","是要",2,2
"274","是感",2,2
"275","看看",3,2
"276","研究",3,2
"277","要因",2,2
"278","要考",2,2
"279","計算",4,2
"280","個月",3,2
"281","個崩",2,2
"282","書單",2,2
"283","留下",2,2
"284","真的",3,2
"285","動力",3,2
"286","動控",6,2
"287","問問",4,2
"288","崩潰",3,2
"289","常常",2,2
"290","常被",2,2
"291","控制",14,2
"292","推薦",3,2
"293","教所",2,2
"294","教授",5,2
"295","械工",2,2
"296","械系",3,2
"297","械控",2,2
"298","現在",3,2
"299","統組",2,2
"300","習班",2,2
"301","這個",2,2
"302","這篇",2,2
"303","連假",2,2
"304","就好",2,2
"305","幾分",3,2
"306","提供",3,2
"307","提到",2,2
"308","最後",5,2
"309","然後",2,2
"310","硬要",2,2
"311","程式",2,2
"312","程數",4,2
"313","程學",2,2
"314","給用",3,2
"315","開始",2,2
"316","閒聊",6,2
"317","階段",2,2
"318","想再",2,2
"319","想問",3,2
"320","感覺",3,2
"321","會怎",2,2
"322","準備",2,2
"323","葉則",2,2
"324","補習",3,2
"325","資料",2,2
"326","資訊",4,2
"327","電路",3,2
"328","實驗",4,2
"329","碩士",2,2
"330","算是",2,2
"331","算機",4,2
"332","網路",2,2
"333","數學",4,2
"334","熱門",2,2
"335","篇是",2,2
"336","學系",2,2
"337","整個",2,2
"338","整理",4,2
"339","機的",2,2
"340","機械",8,2
"341","機電",3,2
"342","壓力",2,2
"343","還是",2,2
"344","雖然",2,2
"345","簡章",2,2
"346","題型",2,2
"347","羅吉",2,2
"348","覺得",2,2
"349","讀書",2,2
"350","驗室",4,2
"351","一個月",2,3
"352","人推薦",2,3
"353","大幼教",2,3
"354","工程數",4,3
"355","工程學",2,3
"356","不同的",2,3
"357","不要因",2,3
"358","不給用",2,3
"359","元旦連",2,3
"360","可以分",2,3
"361","幼教所",2,3
"362","旦連假",2,3
"363","用計算",4,3
"364","光機電",2,3
"365","在實驗",2,3
"366","扣五分",2,3
"367","有沒有",2,3
"368","有很多",2,3
"369","考工程",3,3
"370","自動控",6,3
