"","word","weight1","weight2","weight3","weight4","weight5","weight6","num1","num2","num3","num4","num5","num6","classnum"
"1","各位大大",0.00718780706722409,0,0,0,0,0,116,0,0,0,0,0,1
"2","大家好",0.00619808240464621,0,0,0,0,0,100,0,0,0,0,0,1
"4","有沒有",0.00500012367225021,0,0,0.000535331125513867,0,0,129,0,0,53,0,0,2
"5","找教授",0.00569606184157511,0,0,0.000242445475224653,0,0,147,0,0,24,0,0,2
"6","的教授",0.00596658889724203,0,0,0.000202041503700667,0,0,154,0,0,20,0,0,2
"8","教授的",0.00267723322141563,0,0,0.000404046934036366,0,0,69,0,0,40,0,0,2
"9","想請問",0.00816704750624585,0,0,0,0,0.00525013522834684,211,0,0,0,0,2,2
"11","學長姐",0.00422635663929345,0,0,0.000232344617613136,0,0,109,0,0,23,0,0,2
"13","上的",0.00380055910013477,0,0,0.000999752904864427,0,0,98,0,0,99,0,0,2
"18","中山",0.00465199399195617,0,0,0.000616113826022344,0,0,120,0,0,61,0,0,2
"20","中興",0.0032584030943856,0,0,0.000393947519063169,0,0,84,0,0,39,0,0,2
"23","方面",0.00256096341453163,0,0,0.000474740314705166,0,0,66,0,0,47,0,0,2
"25","可能",0.00294848297972957,0,0,0.00109059574175883,0,0,76,0,0,108,0,0,2
"27","台科",0.0038392745897786,0,0,0.000282848003917379,0,0,99,0,0,28,0,0,2
"36","有點",0.00252220415684165,0,0,0.00112087506657865,0,0,65,0,0,111,0,0,2
"42","版上",0.00356823833720527,0,0,0.000363648733220208,0,0,92,0,0,36,0,0,2
"46","是否",0.00352951357169266,0,0,0.000363648733220208,0,0,91,0,0,36,0,0,2
"50","推甄",0.00267723322141563,0,0,0.000888712864568584,0,0,69,0,0,88,0,0,2
"56","備上",0.00372312414620072,0,0,0.000252546242659201,0,0,96,0,0,25,0,0,2
"58","想問",0.00514590606670841,0,0,0,0,0,83,0,0,0,0,0,1
"59","意見",0.00259972134446352,0,0,0.000171737578137253,0,0,67,0,0,17,0,0,2
"60","感謝",0.0056574098383775,0,0,0.000908902773407538,0,0,146,0,0,90,0,0,2
"65","電機",0.00453592695697572,0,0,0.000333349135958139,0,0,117,0,0,33,0,0,2
"67","請益",0.0429469597570992,0,0,0,0,0,700,0,0,0,0,0,1
"68","請問",0.00360696177732187,0,0,0,0,0.00525013522834684,93,0,0,0,0,2,2
"75","乙",0.00380055910013477,0,0,0.000313148953640543,0,0,98,0,0,31,0,0,2
"88","方",0.00507747127860327,0.00444693768237704,0,0,0,0,131,39,0,0,0,0,2
"107","身",0.00271598716861824,0,0,0.000848331965989463,0,0,70,0,0,84,0,0,2
