"","word","sum","wordnum"
"1","二",10,1
"2","力",24,1
"3","三",20,1
"4","士",22,1
"5","子",39,1
"6","山",10,1
"7","工",101,1
"8","中",64,1
"9","什",16,1
"10","內",12,1
"11","分",44,1
"12","友",29,1
"13","天",15,1
"14","太",22,1
"15","少",21,1
"16","心",18,1
"17","手",13,1
"18","文",30,1
"19","方",45,1
"20","日",10,1
"21","丙",12,1
"22","主",12,1
"23","代",13,1
"24","出",35,1
"25","北",19,1
"26","古",30,1
"27","台",55,1
"28","外",29,1
"29","央",19,1
"30","未",12,1
"31","正",22,1
"32","生",53,1
"33","目",63,1
"34","立",10,1
"35","交",22,1
"36","先",28,1
"37","全",27,1
"38","名",28,1
"39","回",15,1
"40","年",59,1
"41","式",18,1
"42","忙",11,1
"43","成",21,1
"44","收",11,1
"45","江",10,1
"46","老",58,1
"47","考",204,1
"48","似",13,1
"49","位",83,1
"50","作",21,1
"51","利",18,1
"52","否",16,1
"53","完",22,1
"54","希",25,1
"55","弟",37,1
"56","快",10,1
"57","找",60,1
"58","技",23,1
"59","沒",78,1
"60","究",60,1
"61","系",55,1
"62","見",14,1
"63","身",13,1
"64","事",10,1
"65","來",33,1
"66","兩",31,1
"67","制",11,1
"68","取",36,1
"69","始",13,1
"70","姐",12,1
"71","定",24,1
"72","屆",10,1
"73","幸",11,1
"74","念",11,1
"75","怕",10,1
"76","放",26,1
"77","於",26,1
"78","昀",10,1
"79","朋",16,1
"80","林",14,1
"81","果",23,1
"82","法",36,1
"83","版",23,1
"84","直",14,1
"85","知",35,1
"86","近",19,1
"87","長",22,1
"88","門",10,1
"89","非",10,1
"90","信",18,1
"91","前",72,1
"92","南",14,1
"93","室",22,1
"94","度",12,1
"95","建",20,1
"96","後",56,1
"97","拜",15,1
"98","指",12,1
"99","政",10,1
"100","為",68,1
"101","相",24,1
"102","研",99,1
"103","科",92,1
"104","計",83,1
"105","面",22,1
"106","修",18,1
"107","個",56,1
"108","們",30,1
"109","准",12,1
"110","剛",11,1
"111","原",15,1
"112","家",107,1
"113","展",10,1
"114","差",28,1
"115","師",58,1
"116","庫",14,1
"117","料",11,1
"118","時",46,1
"119","書",47,1
"120","校",61,1
"121","班",58,1
"122","益",109,1
"123","真",23,1
"124","祝",15,1
"125","站",12,1
"126","純",11,1
"127","訊",12,1
"128","高",28,1
"129","偏",10,1
"130","做",33,1
"131","參",16,1
"132","商",26,1
"133","問",126,1
"134","國",44,1
"135","專",30,1
"136","張",14,1
"137","從",11,1
"138","授",65,1
"139","推",84,1
"140","教",87,1
"141","械",11,1
"142","棄",12,1
"143","淡",10,1
"144","清",21,1
"145","現",38,1
"146","理",33,1
"147","畢",22,1
"148","組",45,1
"149","統",49,1
"150","習",28,1
"151","設",19,1
"152","這",67,1
"153","通",12,1
"154","部",32,1
"155","麻",17,1
"156","備",49,1
"157","單",22,1
"158","報",22,1
"159","幾",23,1
"160","提",16,1
"161","期",12,1
"162","然",24,1
"163","猶",12,1
"164","畫",13,1
"165","發",35,1
"166","程",40,1
"167","筆",24,1
"168","答",19,1
"169","給",26,1
"170","買",15,1
"171","進",21,1
"172","開",31,1
"173","間",36,1
"174","順",18,1
"175","嗎",77,1
"176","微",10,1
"177","想",149,1
"178","意",31,1
"179","感",43,1
"180","新",11,1
"181","會",115,1
"182","業",50,1
"183","概",25,1
"184","準",36,1
"185","煩",23,1
"186","當",10,1
"187","經",59,1
"188","補",25,1
"189","解",42,1
"190","試",72,1
"191","話",19,1
"192","該",30,1
"193","詳",10,1
"194","資",76,1
"195","路",17,1
"196","較",33,1
"197","過",37,1
"198","道",29,1
"199","電",82,1
"200","預",13,1
"201","實",31,1
"202","對",28,1
"203","甄",38,1
